,Year,UNIT,All Energy (Input),All Feeding Stuffs,All Fertilisers  (Input),Cereals (Output),Compound Feeding Stuffs - Calf (Input),Compound Feeding Stuffs - Cattle (Input),Compound Feeding Stuffs - Pig (Input),Compound Feeding Stuffs - Poultry (Input),Compound Fertilisers - N.P.K. (Input),Compound Fertilisers - P.K. (Input),Cows for Slaughter (Output),Energy - Electricity  (Input),Energy - Motor Fuels  (Input),Finished Cattle (Output),Milk (Output),Other Products  (Input),Pigs (Output),Plant Protection Products (Input),Potatoes (Output),Poultry (Output),Seeds  (Input),Sheep (Output),Store Cattle (Output),Straight Feeding Stuffs (Input),Straight Fertilisers  (Input),Sugarbeet (Output),Total Cattle (Output),Total Crop Products (Output),Total Index (Input),Total Index (Output),Total Livestock (Output),Total Livestock Products (Output),Total Livestock and Livestock Products (Output),Vegetables (Output),Veterinary Expenses (Including A.I.) (Input)
0,1995,Base 2000=100,71.7,103.4,96.4,130.6,108.3,106.0,99.5,98.9,98.3,88.5,135.6,96.0,66.0,119.4,105.2,90.3,110.7,97.5,128.6,104.4,98.0,89.8,114.7,106.0,97.5,100.6,120.7,110.6,93.4,110.3,113.8,105.5,110.2,92.5,85.8
1,1996,Base 2000=100,76.6,107.9,101.0,115.8,111.9,110.7,104.8,102.8,102.5,92.7,108.7,97.5,71.8,101.0,105.4,91.2,123.4,100.8,85.2,105.9,103.4,109.6,99.1,109.3,102.0,96.0,101.7,100.7,97.3,105.3,106.2,105.6,105.9,96.3,89.3
2,1997,Base 2000=100,78.2,103.5,94.8,94.8,107.7,104.4,101.4,102.0,96.4,88.7,102.8,99.4,73.5,95.2,97.8,92.7,109.9,100.4,73.0,108.3,100.5,112.4,95.9,104.9,93.7,97.6,96.3,91.2,95.3,98.8,101.3,98.1,99.9,92.1,92.3
3,1998,Base 2000=100,75.9,98.6,91.3,99.0,100.8,98.3,97.7,99.8,93.4,88.5,98.8,100.0,70.5,93.4,101.1,93.6,89.0,100.8,146.5,104.0,102.0,96.5,89.6,98.8,88.1,98.6,93.4,104.7,93.0,98.0,94.0,101.1,97.0,97.8,94.7
4,1999,Base 2000=100,80.2,97.4,93.3,104.8,97.9,96.5,97.7,99.2,94.5,96.3,87.6,100.0,75.6,90.9,98.4,95.9,80.6,100.6,118.2,98.6,102.1,88.7,83.0,97.1,89.9,99.5,89.1,103.3,94.1,94.0,88.5,98.2,92.7,97.2,95.9
5,2000,Base 2000=100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6,2001,Base 2000=100,97.1,105.0,113.4,104.4,103.9,106.4,104.1,104.1,111.6,104.5,86.7,101.5,95.8,92.4,104.3,105.9,114.0,100.8,152.0,103.1,103.7,142.8,97.2,102.1,118.6,102.8,92.3,112.2,104.8,104.3,102.0,104.2,103.0,105.4,104.7
7,2002,Base 2000=100,97.1,106.5,110.5,91.8,105.8,107.8,106.2,105.4,108.4,103.3,83.2,105.9,94.7,95.2,97.1,110.4,99.5,101.6,148.0,105.5,107.4,121.3,100.7,102.9,115.5,103.8,94.4,110.4,106.2,100.0,99.0,97.0,98.2,114.9,109.4
8,2003,Base 2000=100,102.9,106.5,113.0,109.0,106.8,107.7,105.5,106.3,111.5,105.0,86.4,119.6,99.1,93.3,95.6,114.1,95.4,101.6,154.2,105.6,115.2,119.5,102.8,103.0,117.4,103.8,93.6,116.0,108.8,99.6,97.7,95.7,96.9,110.0,114.7
9,2004,Base 2000=100,112.6,110.8,115.1,100.9,110.1,111.7,109.8,109.7,112.2,106.2,103.2,125.7,110.2,101.9,95.3,116.9,103.3,103.2,97.6,111.6,116.1,117.6,112.2,110.4,122.1,103.8,103.2,104.4,113.1,101.8,105.5,95.6,101.4,110.7,115.8
