,Year,UNIT,Agricultural Output at Basic Prices,All Cereals,All Crops,All Livestock,All Livestock Products,All Livestock Products - Milk,All Livestock Products Other Products (excluding Milk),Compensation of Employees,Contract Work,Crops - Barley,Crops - Forage Plants,Crops - Fresh Fruit,Crops - Mushrooms,Crops - Oats,Crops - Other Crops,Crops - Other Fresh Vegetables,Crops - Potatoes,Crops - Sugar Beet,Crops - Turf,Crops - Wheat,Entrepreneurial Income,Factor Income,Fixed Capital Consumption,Fixed Capital Consumption - Farm Buildings,"Fixed Capital Consumption - Machinery, Equipment, etc",Goods Output at Producer Prices,Gross Value Added at Basic Prices,Interest less FISIM,Intermediate Consumption,Intermediate Consumption - Contract Work,Intermediate Consumption - Crop Protection Products,Intermediate Consumption - Energy and Lubricants,Intermediate Consumption - Feeding Stuffs,Intermediate Consumption - Fertilisers,Intermediate Consumption - Financial Intermediation Services Indirect,Intermediate Consumption - Forage Plants,Intermediate Consumption - Maintenance and Repairs,"Intermediate Consumption - Other Goods (Detergents, Small Tools, etc)",Intermediate Consumption - Other Goods and Services,Intermediate Consumption - Seeds,Intermediate Consumption - Services,Intermediate Consumption - Veterinary Expenses,Land Rental,Livestock - Cattle,Livestock - Horses,Livestock - Pig,Livestock - Poultry,Livestock - Sheep,Net Value Added at Basic Prices,Operating Surplus,Other Subsidies Less Taxes on Production,Subsidies less Taxes on Products,Subsidies on Products,Taxes on Products
0,1990,Euro Million,5200.0,216.7,1123.5,2201.9,1360.0,1316.3,43.7,377.6,180.7,127.5,572.0,13.0,57.1,9.8,23.2,54.0,72.3,70.5,44.8,79.4,1577.2,2321.1,431.9,106.4,325.5,4685.4,2738.2,267.4,2461.9,180.7,47.4,165.0,642.2,326.0,34.0,553.1,203.9,73.2,182.3,42.0,109.1,85.2,98.8,1575.6,83.2,237.2,117.1,188.8,2306.3,1943.5,14.8,333.9,408.9,75.0
1,1991,Euro Million,4994.4,218.6,1127.3,2114.0,1301.9,1258.9,43.0,362.5,172.0,123.4,544.1,14.1,63.5,10.0,22.8,58.8,88.8,69.1,47.7,85.3,1440.2,2136.5,444.9,113.2,331.7,4543.3,2571.1,237.2,2423.3,172.0,50.4,164.8,646.5,319.1,39.0,525.6,184.6,75.3,185.5,43.8,110.2,91.9,96.5,1477.4,70.2,242.1,125.5,198.9,2126.2,1774.0,10.3,279.1,357.3,78.2
2,1992,Euro Million,5374.0,235.4,1154.4,2262.5,1410.7,1373.1,37.6,336.8,179.8,132.4,552.9,11.7,64.8,11.2,21.3,52.6,97.3,72.5,45.8,91.8,1842.6,2516.2,450.2,117.8,332.4,4827.6,2935.1,237.6,2438.9,179.8,55.2,155.4,668.5,305.1,43.0,533.8,175.1,72.2,183.0,46.4,110.8,93.7,99.2,1603.5,61.4,280.4,124.5,192.8,2484.9,2179.4,31.4,366.6,446.0,79.5
3,1993,Euro Million,5625.9,165.7,1101.7,2449.6,1476.7,1439.0,37.7,339.0,199.5,94.0,592.7,9.8,68.1,10.3,20.6,57.4,83.4,64.2,39.8,61.5,1985.6,2586.9,457.4,121.9,335.5,5028.0,3017.9,162.5,2607.9,199.5,57.0,158.9,733.5,301.2,49.0,572.9,195.7,79.8,193.1,46.9,113.3,100.2,99.7,1758.7,84.5,257.9,116.0,232.4,2560.6,2247.9,26.3,398.4,466.4,68.0
4,1994,Euro Million,5781.5,127.3,1157.0,2319.3,1487.6,1446.2,41.4,345.2,205.3,73.7,623.7,14.3,76.3,7.6,19.4,61.2,127.7,76.4,30.6,46.0,2051.7,2623.7,471.5,125.0,346.5,4963.9,2985.2,119.3,2796.3,205.3,57.5,158.8,818.6,316.3,56.0,604.6,220.3,81.8,200.3,50.0,118.5,108.7,107.5,1614.0,75.9,264.5,134.6,230.2,2513.7,2278.5,110.0,612.3,666.0,53.7
5,1995,Euro Million,6035.5,159.4,1217.2,2349.1,1580.8,1538.5,42.3,362.7,212.5,110.1,638.6,18.5,78.0,6.5,27.1,57.2,130.5,77.1,30.8,42.8,2116.5,2738.0,496.4,130.2,366.2,5147.1,3108.6,148.4,2926.9,212.5,60.2,161.2,809.5,369.6,61.0,621.4,241.5,89.7,214.6,60.6,124.9,114.8,110.4,1659.1,70.1,295.5,133.8,190.7,2612.3,2375.3,125.8,676.0,735.6,59.6
6,1996,Euro Million,6134.7,200.9,1268.7,2318.2,1573.9,1536.0,37.9,343.2,220.9,123.5,652.0,20.5,92.3,9.1,35.7,67.9,94.7,74.5,30.2,68.4,2139.5,2766.5,517.3,134.7,382.6,5160.8,3035.8,150.4,3098.9,220.9,67.0,186.7,808.8,386.1,63.0,633.5,270.7,109.3,249.4,66.1,140.1,146.6,133.4,1482.7,96.9,356.5,140.4,241.8,2518.5,2423.2,247.9,753.0,806.0,53.0
7,1997,Euro Million,5753.1,160.0,1102.6,2205.5,1450.9,1414.5,36.3,348.4,225.2,92.7,584.3,9.6,101.9,7.9,36.4,59.1,52.6,70.7,28.0,59.4,1904.9,2581.5,532.2,143.0,389.1,4759.0,2823.2,174.9,2929.9,225.2,69.5,187.4,749.7,330.6,64.0,568.0,270.4,103.7,245.9,65.8,142.2,153.5,153.2,1382.6,106.9,337.0,149.1,230.0,2291.0,2233.1,290.4,769.0,808.7,39.8
8,1998,Euro Million,5831.7,143.1,1127.9,2152.5,1465.9,1431.2,34.7,359.9,225.3,84.3,566.0,15.5,106.7,7.4,36.1,61.1,103.1,74.4,22.0,51.5,1878.5,2589.0,546.6,149.1,397.5,4746.3,2816.7,199.0,3015.1,225.3,72.3,185.8,831.2,329.0,64.0,553.0,277.2,108.0,255.6,66.2,147.6,155.7,151.6,1385.0,128.7,282.6,142.2,214.0,2270.1,2229.1,318.9,860.2,899.6,39.4
9,1999,Euro Million,5651.4,164.1,1184.3,2067.9,1438.1,1408.8,29.3,375.0,245.4,106.8,582.2,8.4,111.4,8.8,44.2,59.3,118.0,72.9,24.1,48.5,1611.4,2305.5,566.5,155.8,410.7,4690.3,2540.4,157.8,3111.0,245.4,69.9,189.5,860.9,339.0,79.0,570.8,286.3,110.3,263.3,55.6,153.0,151.5,161.3,1330.7,150.0,251.4,137.8,198.0,1973.9,1930.5,331.6,715.8,743.7,27.9
