Year,Veterinary Office,Animal Count,Herd Incidence Rate,Restricted Herds at end of Year,Restricted Herds at start of Year,Herds Tested,Herds Count,Reactors per 1000 Tests A.P.T.,Reactors to date,Tests on Animals
2010,State,5751564.0,4.65,2849.0,5304.0,114011.0,116815.0,2.41,20211.0,8390750.0
2011,State,5819281.0,4.18,2578.0,4780.0,114333.0,116061.0,2.22,18531.0,8332285.0
2012,State,6145469.0,4.26,2665.0,4856.0,113887.0,115787.0,2.16,18476.0,8534677.0
2013,State,6146958.0,3.88,2512.0,4430.0,114051.0,115765.0,1.84,15612.0,8474961.0
2014,State,6115528.0,3.64,2177.0,4111.0,112937.0,114508.0,1.91,16145.0,8445262.0
2015,State,6321196.0,3.37,2091.0,3823.0,113331.0,115091.0,1.82,15317.0,8429602.0
2016,State,6455934.0,3.27,2035.0,3682.0,112595.0,114705.0,1.96,16914.0,8635824.0
2017,State,6513273.0,3.47,2180.0,3885.0,111901.0,113697.0,1.94,17266.0,8882933.0
2018,State,6398745.0,3.51,2176.0,3874.0,110454.0,112105.0,1.97,17491.0,8869856.0
2019,State,6363409.0,3.72,2273.0,4060.0,109175.0,111004.0,1.62,17058.0,8827682.0
2020,State,7202987.0,4.38,2673.0,4753.0,108407.0,110216.0,1.94,22614.0,9086934.0
