Year,Veterinary Office,Animal Count,Herd Incidence Rate,Restricted Herds at end of Year,Restricted Herds at start of Year,Herds Tested,Herds Count,Reactors per 1000 Tests A.P.T.,Reactors to date,Tests on Animals
2010,Carlow,86258.0,4.02,28.0,52.0,1295.0,1353.0,1.14,124.0,108584.0
2010,Cavan,202119.0,5.32,124.0,257.0,4832.0,4915.0,3.13,981.0,313822.0
2010,Clare,237260.0,5.71,175.0,350.0,6134.0,6282.0,5.05,1947.0,385705.0
2010,Cork North,462707.0,4.43,119.0,259.0,5849.0,5986.0,1.62,1078.0,664648.0
2010,Cork South,417478.0,6.3,216.0,385.0,6107.0,6310.0,2.72,1592.0,586105.0
2010,Donegal,173025.0,3.34,100.0,182.0,5449.0,5579.0,1.71,396.0,232021.0
2010,Dublin,20455.0,7.16,16.0,28.0,391.0,398.0,1.99,60.0,30096.0
2010,Galway,356143.0,3.98,221.0,463.0,11639.0,11796.0,3.15,1579.0,500797.0
2010,Kerry,284772.0,2.22,84.0,151.0,6790.0,6895.0,1.49,601.0,402235.0
2010,Kildare,103685.0,5.23,58.0,94.0,1798.0,1861.0,1.31,182.0,138426.0
2010,Kilkenny,282632.0,6.19,103.0,185.0,2989.0,3143.0,1.95,737.0,378100.0
2010,Laois,202064.0,5.46,71.0,154.0,2821.0,2878.0,1.47,404.0,274815.0
2010,Leitrim,67461.0,2.74,37.0,84.0,3061.0,3106.0,2.53,265.0,104696.0
2010,Limerick,320813.0,3.12,109.0,169.0,5416.0,5627.0,1.86,866.0,466762.0
2010,Longford,103406.0,3.43,49.0,82.0,2394.0,2445.0,1.68,248.0,147910.0
2010,Louth,74736.0,6.01,41.0,68.0,1131.0,1196.0,3.22,339.0,105185.0
2010,Mayo,237301.0,1.95,96.0,189.0,9716.0,9772.0,1.08,361.0,333497.0
2010,Meath,241554.0,8.0,156.0,281.0,3512.0,3674.0,2.47,1031.0,416730.0
2010,Monaghan,182478.0,3.56,91.0,149.0,4189.0,4292.0,2.6,645.0,248441.0
2010,Offaly,190316.0,6.47,96.0,195.0,3013.0,3170.0,2.49,676.0,271410.0
2010,Roscommon,171826.0,4.69,132.0,256.0,5463.0,5529.0,2.51,731.0,291568.0
2010,Sligo,97915.0,3.11,49.0,113.0,3635.0,3686.0,1.46,220.0,150548.0
2010,Tipperary North,256811.0,6.92,138.0,232.0,3355.0,3446.0,2.45,931.0,380595.0
2010,Tipperary South,254772.0,5.23,90.0,173.0,3307.0,3415.0,1.97,747.0,379125.0
2010,Waterford,209529.0,5.55,60.0,122.0,2198.0,2243.0,1.41,414.0,293603.0
2010,Westmeath,173659.0,6.75,117.0,200.0,2963.0,3076.0,3.12,883.0,282900.0
2010,Wexford,235247.0,8.08,148.0,241.0,2981.0,3105.0,3.75,1255.0,334745.0
2010,Wicklow E,67509.0,15.72,104.0,164.0,1043.0,1079.0,7.28,833.0,114380.0
2010,Wicklow W,37633.0,4.81,21.0,26.0,540.0,558.0,1.59,85.0,53301.0
2011,Carlow,85784.0,4.98,42.0,66.0,1326.0,1360.0,1.9,210.0,110581.0
2011,Cavan,205467.0,3.96,84.0,190.0,4803.0,4857.0,2.39,717.0,299639.0
2011,Clare,240713.0,4.68,144.0,286.0,6105.0,6164.0,3.26,1185.0,363493.0
2011,Cork North,471086.0,5.45,147.0,310.0,5689.0,5790.0,1.68,1137.0,677129.0
2011,Cork South,421122.0,5.8,211.0,355.0,6119.0,6217.0,2.3,1368.0,593580.0
2011,Donegal,171436.0,3.38,105.0,185.0,5467.0,5560.0,1.78,415.0,233334.0
