,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
40,0.5493080139160156,0.01086317837317258,0.0062520503997802734,0.007657166746327648,0.01,0.1,3,340,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 340}",0.9024892401619229,0.8718877536368499,0.8135876543392817,0.8605297052062777,0.7976552629680781,0.8492299232624821,0.03849138632037802,1,-0.5638419708635924,-0.7671461020500846,-1.1071074094517857,-0.9650208605219545,-1.0552126532699806,-0.8916657992314796,0.20075718832911693,1
41,0.8061192035675049,0.021560671743630168,0.00752406120300293,0.004958958117852725,0.01,0.1,3,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9024892357399158,0.871887743670822,0.8135876224021159,0.8605297157814928,0.7976552629833314,0.8492299161155357,0.03849139045482406,2,-0.563841983648403,-0.7671461318887592,-1.1071075042895797,-0.9650208239360156,-1.0552126532302082,-0.8916658193985931,0.20075719812709714,2
39,0.2667415618896484,0.0024981955272698874,0.009378337860107422,0.007657381044512868,0.01,0.1,3,160,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 160}",0.8942051178473416,0.8685335258120362,0.807944106662882,0.8562653898621858,0.7913431068035288,0.8436582493975949,0.03832774298958314,3,-0.5873046774476257,-0.7771239031016994,-1.1237410370613699,-0.9796625799698112,-1.0715449704041677,-0.9078754335969348,0.19919871628457142,3
111,0.2639720916748047,0.011419933911412663,0.006251144409179688,0.007656057079229855,0.1,0.1,3,160,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 160}",0.8916707232283976,0.8690220585439534,0.8007993870245251,0.8520213473029493,0.7795259997315382,0.8386079031662728,0.04204939811745934,4,-0.5942977034111656,-0.7756786531994593,-1.1444524598441312,-0.9940205809471052,-1.1014701312723945,-0.9219839057348512,0.20769223356379388,4
112,0.5476927757263184,0.012083810632582742,0.0068947792053222655,0.007224910835630887,0.1,0.1,3,340,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 340}",0.8916705273218272,0.869022527938289,0.8007992023240734,0.8520213707749736,0.7795257840745886,0.8386078824867503,0.04204951189091872,5,-0.5942982407856209,-0.7756772632726967,-1.1444529904168894,-0.9940205021125039,-1.1014706699745325,-0.9219839333124487,0.20769246112265885,5
113,0.7890300273895263,0.019880850224873365,0.006250143051147461,0.00765483065663891,0.1,0.1,3,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.8916705273218272,0.869022527938289,0.8007992023240734,0.8520213707749736,0.7795257840745886,0.8386078824867503,0.04204951189091872,5,-0.5942982407856209,-0.7756772632726967,-1.1444529904168894,-0.9940205021125039,-1.1014706699745325,-0.9219839333124487,0.20769246112265885,5
45,0.35710487365722654,0.01718223345043548,0.007851266860961914,0.006990275718856222,0.01,0.1,6,160,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 160}",0.873927203906321,0.8403619792113551,0.859312435285182,0.8163402821659822,0.7628025090770195,0.830548881929172,0.038978899520997784,7,-0.6411236868851672,-0.8563492602084745,-0.961790045347564,-1.1073956121965893,-1.142481244440042,-0.9418279698155674,0.18210026954920186,7
47,1.0634623050689698,0.06537740105638491,0.009372377395629882,0.007652514885081192,0.01,0.1,6,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.8739271399707389,0.8403619349740112,0.8593124355606397,0.8163402858135883,0.7628024808114532,0.8305488554260864,0.038978892663253106,8,-0.6411238494523986,-0.8563493788600776,-0.9617900444060005,-1.1073956011997768,-1.1424813125117537,-0.9418280372860014,0.18210021770134424,8
46,0.7099676132202148,0.03751620652530816,0.009375476837158203,0.007655044877649682,0.01,0.1,6,340,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 340}",0.8739271399707389,0.8403619349740112,0.8593124355606397,0.8163402858135883,0.7628024808114532,0.8305488554260864,0.038978892663253106,8,-0.6411238494523986,-0.8563493788600776,-0.9617900444060005,-1.1073956011997768,-1.1424813125117537,-0.9418280372860014,0.18210021770134424,8
117,0.33669228553771974,0.010923156231309537,0.012499475479125976,0.006249738684340183,0.1,0.1,6,160,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 160}",0.8670593869933687,0.8398366862147787,0.8555820639859921,0.8216356199835376,0.7643865438574475,0.8297000602070248,0.03605340266446173,10,-0.6583547428977942,-0.857757022678126,-0.9744576931714142,-1.0913144515273756,-1.1386600371573208,-0.9441087894864062,0.1729466701817585,10
118,0.7142765522003174,0.02681654351295195,0.0045245647430419925,0.006176330269105745,0.1,0.1,6,340,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 340}",0.8670593589755531,0.8398366042943755,0.8555820619320291,0.8216356276283338,0.7643865312287381,0.8297000368118059,0.036053396190137484,11,-0.6583548122733615,-0.8577572420410705,-0.9744577001009552,-1.0913144281402043,-1.1386600676729939,-0.9441088500457171,0.17294662847841616,11
119,1.0213149547576905,0.058067689580849534,0.00964818000793457,0.00579084416076145,0.1,0.1,6,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.8670593589755531,0.8398366042943755,0.8555820619320291,0.8216356276283338,0.7643865312287381,0.8297000368118059,0.036053396190137484,11,-0.6583548122733615,-0.8577572420410705,-0.9744577001009552,-1.0913144281402043,-1.1386600676729939,-0.9441088500457171,0.17294662847841616,11
116,0.17799806594848633,0.013446640851458153,0.010185480117797852,0.008447645592834724,0.1,0.1,6,80,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 80}",0.8672303263152326,0.8396577983706572,0.8556754867531937,0.8214688934510898,0.7643870529274721,0.829683911563529,0.03609969509542496,13,-0.6579313398815774,-0.8582359072603061,-0.9741424578752003,-1.0918243867912352,-1.1386588070535402,-0.9441585797723718,0.17311458657673054,14
