Title,Filename
CSO API ,notebook-1-01-dc-cso-api.html
EuroStat API,notebook-1-02-dc-eurostat-api.html
ifa.ie Scraping,notebook-1-03-dc-ifa-ie-scraping.html
Twitter API,notebook-1-04-dc-twitter-api.html
Irish Beef Exports EDA,notebook-2-01-eda-irish-beef-exports.html
Irish Bovine Tuberculosis EDA,notebook-2-02-eda-irish-bovine-tuberculosis.html
Irish Milk Production EDA,notebook-2-03-eda-irish-milk-production.html
Clean ifa.ie Article Text,notebook-2-04-eda-clean-ifa-ie-article-text.html
UN Production Imports and Exports EDA,notebook-2-05-eda-un-production-imports-and-exports.html
CSO Irish Weather Conditions EDA,notebook-2-06-eda-cso-irish-weather-conditions.html
Irish Bovine Tuberculosis Stats,notebook-3-02-sa-irish-bovine-tuberculosis.html
ifa.ie Articles N-grams and topics Stats,notebook-3-03-sa-ifa-ie-articles-n-grams-and-topics.html
Irish Bovine Tuberculosis  Stats Tests,notebook-4-01-st-irish-bovine-tuberculosis.html
Irish Milk Production Stats Tests,notebook-4-02-st-irish-milk-production.html
ifa.ie Beef v Dairy Articles,notebook-4-03-st-ifa-ie-beef-v-dairy-articles.html
Irish Bovine Tuberculosis ML,notebook-5-01-ml-irish-bovine-tuberculosis.html
Irish beef exports ML,notebook-5-02-ml-irish-beef-exports.html
Milk Production ML,notebook-5-03-ml-milk-production.html
