,Area,Item,Year,Production_ton,Import_Qt_ton,Export_Qt_ton,Import_Vl_1000$,Export_Vl_1000$
0,Argentina,"Meat, cattle",1961,15.563226897097127,0.0,1.9668284613542868,0.0,0.8196460831900398
1,Argentina,"Meat, cattle",1962,17.43572716478297,0.0,2.8685225090519957,0.0,1.0137722268642713
2,Argentina,"Meat, cattle",1963,19.316307692307692,0.0,3.975681186283596,0.0,1.5254569045412418
3,Argentina,"Meat, cattle",1964,15.148427946615453,0.0,3.1822246562188194,0.0,1.6992880559952588
4,Argentina,"Meat, cattle",1965,15.1395962968584,0.0,2.669471847017757,0.0,1.7498558203065715
5,Argentina,"Meat, cattle",1966,17.724066041482114,0.0,2.919861318996854,0.0,1.7196215291566117
6,Argentina,"Meat, cattle",1967,19.444060661665496,0.0,2.6555361094192116,0.0,1.3360677856333316
7,Argentina,"Meat, cattle",1968,19.8190892560065,0.0,1.6808836615467946,0.0,0.909041668278717
8,Argentina,"Meat, cattle",1969,22.296120709656464,0.0,2.4505730769825678,0.0,1.2741875609039304
9,Argentina,"Meat, cattle",1970,20.29711478960396,0.0,1.767922339108911,0.0,1.002552599009901
10,Argentina,"Meat, cattle",1971,15.492303761401118,0.0,1.0352060331077628,0.0,0.83184415503972
11,Argentina,"Meat, cattle",1972,16.981600892829462,0.0,1.5234910252038316,0.0,1.504805158570233
12,Argentina,"Meat, cattle",1973,16.668306155063537,0.0,0.9076818047819274,0.0,1.2572884827233093
13,Argentina,"Meat, cattle",1974,16.796864322544575,0.0,0.29840964154811456,0.0,0.4066829222836553
14,Argentina,"Meat, cattle",1975,18.95493198600855,0.0,0.26910998834045863,0.0,0.25701515740380876
15,Argentina,"Meat, cattle",1976,21.87459151598145,0.0,1.07134854190657,0.0,0.7858454452086769
16,Argentina,"Meat, cattle",1977,22.69331297995296,0.0,1.0915668468356206,0.0,1.0537936727986417
17,Argentina,"Meat, cattle",1978,24.89431832356243,0.0,1.019404078832481,0.0,0.9090292503430211
18,Argentina,"Meat, cattle",1979,23.5684219562062,0.0,1.313533001420255,0.0,2.0143196042014577
19,Argentina,"Meat, cattle",1980,22.178159662552726,0.0041399781284174346,0.5624980471801281,0.006717700359318857,1.1400249960943603
20,Argentina,"Meat, cattle",1981,22.981570675715826,0.003213598761474346,0.5236289427181885,0.003972039345082647,0.9384881229768401
21,Argentina,"Meat, cattle",1982,19.80711196017675,0.0,0.6085781515737484,0.0,0.8343700735425452
22,Argentina,"Meat, cattle",1983,19.085771586704393,0.00027206865458163617,0.5269114766331893,0.00032648238549796337,0.6757796710301297
