,p_adj,unit,geotime,product,year,priceIDX
0,NI,I15,AT,010000,2021,147.4
1,NI,I15,BE,010000,2021,143.96
2,NI,I15,BG,010000,2021,127.71
3,NI,I15,CY,010000,2021,116.65
4,NI,I15,CZ,010000,2021,113.9
5,NI,I15,DE,010000,2021,131.8
6,NI,I15,DK,010000,2021,120.34
7,NI,I15,EE,010000,2021,127.65
8,NI,I15,EL,010000,2021,124.18
9,NI,I15,ES,010000,2021,131.01
10,NI,I15,EU27_2020,010000,2021,
11,NI,I15,EU28,010000,2021,
12,NI,I15,FI,010000,2021,130.85
13,NI,I15,FR,010000,2021,136.26
14,NI,I15,HR,010000,2021,124.52
15,NI,I15,HU,010000,2021,153.6
16,NI,I15,IE,010000,2021,115.34
17,NI,I15,IT,010000,2021,134.0
18,NI,I15,LT,010000,2021,118.94
19,NI,I15,LU,010000,2021,131.49
20,NI,I15,LV,010000,2021,128.61
21,NI,I15,NL,010000,2021,142.3
22,NI,I15,PL,010000,2021,
23,NI,I15,PT,010000,2021,130.69
24,NI,I15,RO,010000,2021,136.48
25,NI,I15,SE,010000,2021,151.55
26,NI,I15,SI,010000,2021,125.92
27,NI,I15,SK,010000,2021,126.1
28,NI,I15,UK,010000,2021,
29,NI,I15,AT,011000,2021,142.2
30,NI,I15,BE,011000,2021,140.99
31,NI,I15,BG,011000,2021,122.75
32,NI,I15,CY,011000,2021,121.71
33,NI,I15,CZ,011000,2021,116.1
34,NI,I15,DE,011000,2021,133.0
35,NI,I15,DK,011000,2021,124.49
36,NI,I15,EE,011000,2021,130.76
37,NI,I15,EL,011000,2021,120.06
38,NI,I15,ES,011000,2021,127.34
39,NI,I15,EU27_2020,011000,2021,
40,NI,I15,EU28,011000,2021,
41,NI,I15,FI,011000,2021,134.78
42,NI,I15,FR,011000,2021,136.02
43,NI,I15,HR,011000,2021,115.08
44,NI,I15,HU,011000,2021,144.3
45,NI,I15,IE,011000,2021,123.05
46,NI,I15,IT,011000,2021,126.9
47,NI,I15,LT,011000,2021,117.84
48,NI,I15,LU,011000,2021,133.95
49,NI,I15,LV,011000,2021,126.02
50,NI,I15,NL,011000,2021,142.4
51,NI,I15,PL,011000,2021,
52,NI,I15,PT,011000,2021,119.78
53,NI,I15,RO,011000,2021,125.49
54,NI,I15,SE,011000,2021,152.45
55,NI,I15,SI,011000,2021,107.92
56,NI,I15,SK,011000,2021,124.2
57,NI,I15,UK,011000,2021,
58,NI,I15,AT,011100,2021,144.0
59,NI,I15,BE,011100,2021,140.99
60,NI,I15,BG,011100,2021,122.79
61,NI,I15,CZ,011100,2021,116.1
62,NI,I15,DE,011100,2021,133.0
63,NI,I15,DK,011100,2021,124.49
64,NI,I15,EE,011100,2021,130.76
65,NI,I15,EL,011100,2021,115.71
66,NI,I15,ES,011100,2021,131.49
67,NI,I15,EU27_2020,011100,2021,
68,NI,I15,EU28,011100,2021,
69,NI,I15,FI,011100,2021,134.78
70,NI,I15,FR,011100,2021,138.12
71,NI,I15,HR,011100,2021,115.61
72,NI,I15,HU,011100,2021,144.04
73,NI,I15,IE,011100,2021,123.05
74,NI,I15,IT,011100,2021,130.0
