id,created_at,favorite_count,retweet_count,text
1479016695171850244,2022-01-06 09:07:13+00:00,3,2,"Minister @McConalogue talks on how the Irish family farm model has lasted the test of time; the benefits of @EU membership for supports and access to the European Single Market; and on #FoodVision2030 at @oxfordfarming #ORFC22 

📍https://t.co/gnbrahBBba 

https://t.co/3QaCqCWY6v"
1478777431871864839,2022-01-05 17:16:28+00:00,5,4,"Here’s #BeWinterReady tips for farms:

💡Ensure farm is well lit
⚙️Get trained on how to use equipment correctly
📱Always carry a mobile
🗒Plan your work
🧒Supervise kids on farms
✔️Look after your wellbeing
🚜Ensure vehicles are serviced

➡️Learn more at https://t.co/osS8toedar https://t.co/x2vAYOlsOA"
1478305852868251653,2022-01-04 10:02:35+00:00,7,2,"Extensions have been announced for a number of European Innovation Partnership (#EIP) projects including @DuncannonEIP, @CaomhnuArann,  @CurlewEIP and MacGillycuddy Reeks @ForumEip to continue work until the start of the next #CAP Strategic Plan in 2023

➡️https://t.co/QrFlEjDS00 https://t.co/HATpSHHzRi"
1478303286604226565,2022-01-04 09:52:23+00:00,18,11,"A range of public and stakeholder engagements have been announced on the development of a new Forest Strategy for Ireland by Minister @pippa_hackett including hosting a Deliberative Dialogue, similar to the Citizens’ Assembly model, and a youth dialogue.
🌳https://t.co/7yWSU6YEhe https://t.co/fnZrwWFfcn"
1477625220580085761,2022-01-02 12:58:00+00:00,13,3,"If you missed any of our webinars during #AnimalHealth and #AntimicrobialResistance Awareness week, you can watch them all back now split into topics on our YouTube Playlist.

🎥Watch back here now: https://t.co/brWBPp5ip8

 #onehealth #AMR"
1477262329477689345,2022-01-01 12:56:00+00:00,3,4,"The new EU Regulations on veterinary medicines and medicated feed aim to increase the availability of veterinary medicinal products across the #EU and address the #OneHealth, One Welfare challenges of #antimicrobialresistance and antiparasitic resistance
📍https://t.co/wXUPJQ7TTa"
1476886604350324737,2021-12-31 12:03:00+00:00,2,0,"#Reminder 
The annual sheep and goat census takes place tonight, Friday, December 31.

✉️Postal forms must arrive to us no later than Monday, January 31, 2022

💻Online forms via https://t.co/fBFpQMaAE2 must be returned by Monday, February  14, 2022. https://t.co/EILthEzbLH"
1476535540623110144,2021-12-30 12:48:00+00:00,2,0,"Some #BeWinterReady tips for farms:

💡Ensure farm is well lit
⚙️Get trained on how to use equipment correctly
📱Always carry a mobile
🗒Plan your work
🧒Supervise kids on farms
✔️look after your wellbeing
🚜Ensure vehicles are serviced

Learn more at https://t.co/osS8toedar https://t.co/1dYuuMukG5"
1476483137807003649,2021-12-30 09:19:46+00:00,6,2,Central to this project is a pilot results-based payment scheme that rewards participating land managers for environmental services directly related to the conservation of the corncrake by linking payments to the habitat quality
1476214438478991367,2021-12-29 15:32:03+00:00,3,1,"Minister @pippa_hackett said we ‘exceeded expectations by licensing 8.4 million cubic metres of timber, the highest on record. Our output on forest roads was equally impressive with 260km licensed, double our target.’

📍Read the interim report here: https://t.co/qPu7Ww59h0"
1476214435979177988,2021-12-29 15:32:02+00:00,9,5,"Minister @pippa_hackett welcomes progress in third interim report on the implementation of #ProjectWoodland, notably the 60% increase in forestry licencing in 2021 compared to last year. 

📍 https://t.co/X3ocqxjqdu https://t.co/KU9rgFoyz2"
1476159814833168389,2021-12-29 11:55:00+00:00,6,6,"A compulsory housing order is now in place for poultry and captive birds
 
⚠️Poultry owners should:
🦠Maintain strict biosecurity
🐥Stay vigilant against #BirdFlu

Learn more at https://t.co/y7fIA7StAF https://t.co/Yc4tQx9fhG"
1476147076392263681,2021-12-29 11:04:23+00:00,7,3,"The @CorncrakeLife project aims to improve conservation status of the #corncrake. It works with land managers and communities to conserve and improve the quality of corncrake habitats, and the ecosystem services they provide like clean water, carbon storage and wider biodiversity"
1475873931311603716,2021-12-28 16:59:00+00:00,4,3,"Are you travelling this week?⛴✈️🎁

Please don’t risk bringing pork or pork products with you into Ireland from countries affected by African Swine Fever(#ASF).🐽🐖🐷🥩🥓

Learn how to stop the spread of the devastating pig disease.

➡️Go to https://t.co/wuilxEjJOG https://t.co/n6ALRR3Tt7"
1475793903672606726,2021-12-28 11:41:00+00:00,59,11,"There were 188 calling males officially recorded in Ireland in 2021 with the first call recorded in Malin Head in Co #Donegal on April 2. 

See all records of @CorncrakeLife, which we support to work with farmers and landowners to improve bird habitats.

➡️https://t.co/W5CrE7Z0w6 https://t.co/VwITsgkcbG"
1475791302121996300,2021-12-28 11:30:39+00:00,0,0,MoS Hackett Marks 1st Full Calendar Year in Office: https://t.co/9vh60f42dv
1475791037612314635,2021-12-28 11:29:36+00:00,0,0,Research and Innovation PR from MoS Heydon: https://t.co/GkCAsjpSdY
