"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Average Maximum Temperature","1958M01","Belmullet","Degrees C","8.2"
"Average Maximum Temperature","1958M01","Birr","Degrees C","7.8"
"Average Maximum Temperature","1958M01","Valentia Observatory","Degrees C","9.7"
"Average Maximum Temperature","1958M01","Casement","Degrees C",""
"Average Maximum Temperature","1958M01","Claremorris","Degrees C","7.4"
"Average Maximum Temperature","1958M01","Clones","Degrees C","6.7"
"Average Maximum Temperature","1958M01","Cork airport","Degrees C",""
"Average Maximum Temperature","1958M01","Dublin airport","Degrees C","7.5"
"Average Maximum Temperature","1958M01","Galway","Degrees C",""
"Average Maximum Temperature","1958M01","Kilkenny","Degrees C","8"
"Average Maximum Temperature","1958M01","Malin head","Degrees C","7.5"
"Average Maximum Temperature","1958M01","Mullingar","Degrees C","7"
"Average Maximum Temperature","1958M01","Roches Point","Degrees C","8.9"
"Average Maximum Temperature","1958M01","Rosslare","Degrees C","8.3"
"Average Maximum Temperature","1958M01","Shannon airport","Degrees C","8.4"
"Average Maximum Temperature","1958M02","Belmullet","Degrees C","8.8"
"Average Maximum Temperature","1958M02","Birr","Degrees C","8.7"
"Average Maximum Temperature","1958M02","Valentia Observatory","Degrees C","10.6"
"Average Maximum Temperature","1958M02","Casement","Degrees C",""
"Average Maximum Temperature","1958M02","Claremorris","Degrees C","8.3"
"Average Maximum Temperature","1958M02","Clones","Degrees C","7.8"
"Average Maximum Temperature","1958M02","Cork airport","Degrees C",""
"Average Maximum Temperature","1958M02","Dublin airport","Degrees C","8.2"
"Average Maximum Temperature","1958M02","Galway","Degrees C",""
"Average Maximum Temperature","1958M02","Kilkenny","Degrees C","9.1"
"Average Maximum Temperature","1958M02","Malin head","Degrees C","7.8"
"Average Maximum Temperature","1958M02","Mullingar","Degrees C","8"
"Average Maximum Temperature","1958M02","Roches Point","Degrees C","10.1"
"Average Maximum Temperature","1958M02","Rosslare","Degrees C","9.4"
"Average Maximum Temperature","1958M02","Shannon airport","Degrees C","9.5"
"Average Maximum Temperature","1958M03","Belmullet","Degrees C","7.8"
"Average Maximum Temperature","1958M03","Birr","Degrees C","7.8"
"Average Maximum Temperature","1958M03","Valentia Observatory","Degrees C","9.8"
"Average Maximum Temperature","1958M03","Casement","Degrees C",""
"Average Maximum Temperature","1958M03","Claremorris","Degrees C","7.2"
"Average Maximum Temperature","1958M03","Clones","Degrees C","6.8"
"Average Maximum Temperature","1958M03","Cork airport","Degrees C",""
"Average Maximum Temperature","1958M03","Dublin airport","Degrees C","7.1"
"Average Maximum Temperature","1958M03","Galway","Degrees C",""
"Average Maximum Temperature","1958M03","Kilkenny","Degrees C","7.9"
"Average Maximum Temperature","1958M03","Malin head","Degrees C","6.5"
"Average Maximum Temperature","1958M03","Mullingar","Degrees C","7.2"
"Average Maximum Temperature","1958M03","Roches Point","Degrees C","8.5"
"Average Maximum Temperature","1958M03","Rosslare","Degrees C","7.5"
"Average Maximum Temperature","1958M03","Shannon airport","Degrees C","8.7"
"Average Maximum Temperature","1958M04","Belmullet","Degrees C","11.6"
"Average Maximum Temperature","1958M04","Birr","Degrees C","12"
"Average Maximum Temperature","1958M04","Valentia Observatory","Degrees C","12.1"
"Average Maximum Temperature","1958M04","Casement","Degrees C",""
"Average Maximum Temperature","1958M04","Claremorris","Degrees C","11.8"
"Average Maximum Temperature","1958M04","Clones","Degrees C","11.2"
"Average Maximum Temperature","1958M04","Cork airport","Degrees C",""
"Average Maximum Temperature","1958M04","Dublin airport","Degrees C","11.2"
"Average Maximum Temperature","1958M04","Galway","Degrees C",""
"Average Maximum Temperature","1958M04","Kilkenny","Degrees C","12.3"
"Average Maximum Temperature","1958M04","Malin head","Degrees C","10.3"
"Average Maximum Temperature","1958M04","Mullingar","Degrees C","11.7"
"Average Maximum Temperature","1958M04","Roches Point","Degrees C","11.6"
"Average Maximum Temperature","1958M04","Rosslare","Degrees C","11.2"
"Average Maximum Temperature","1958M04","Shannon airport","Degrees C","12.9"
"Average Maximum Temperature","1958M05","Belmullet","Degrees C","13"
"Average Maximum Temperature","1958M05","Birr","Degrees C","14.8"
"Average Maximum Temperature","1958M05","Valentia Observatory","Degrees C","13.8"
"Average Maximum Temperature","1958M05","Casement","Degrees C",""
"Average Maximum Temperature","1958M05","Claremorris","Degrees C","13.9"
"Average Maximum Temperature","1958M05","Clones","Degrees C","13.9"
"Average Maximum Temperature","1958M05","Cork airport","Degrees C",""
"Average Maximum Temperature","1958M05","Dublin airport","Degrees C","13.7"
"Average Maximum Temperature","1958M05","Galway","Degrees C",""
"Average Maximum Temperature","1958M05","Kilkenny","Degrees C","14.6"
"Average Maximum Temperature","1958M05","Malin head","Degrees C","12.1"
"Average Maximum Temperature","1958M05","Mullingar","Degrees C","14.5"
"Average Maximum Temperature","1958M05","Roches Point","Degrees C","13.7"
"Average Maximum Temperature","1958M05","Rosslare","Degrees C","13.4"
"Average Maximum Temperature","1958M05","Shannon airport","Degrees C","15"
"Average Maximum Temperature","1958M06","Belmullet","Degrees C","15.7"
"Average Maximum Temperature","1958M06","Birr","Degrees C","16.9"
"Average Maximum Temperature","1958M06","Valentia Observatory","Degrees C","15.8"
"Average Maximum Temperature","1958M06","Casement","Degrees C",""
"Average Maximum Temperature","1958M06","Claremorris","Degrees C","16.2"
"Average Maximum Temperature","1958M06","Clones","Degrees C","16.3"
"Average Maximum Temperature","1958M06","Cork airport","Degrees C",""
"Average Maximum Temperature","1958M06","Dublin airport","Degrees C","16.2"
"Average Maximum Temperature","1958M06","Galway","Degrees C",""
"Average Maximum Temperature","1958M06","Kilkenny","Degrees C","16.8"
"Average Maximum Temperature","1958M06","Malin head","Degrees C","14.6"
"Average Maximum Temperature","1958M06","Mullingar","Degrees C","16.9"
"Average Maximum Temperature","1958M06","Roches Point","Degrees C","15.9"
"Average Maximum Temperature","1958M06","Rosslare","Degrees C","15.6"
"Average Maximum Temperature","1958M06","Shannon airport","Degrees C","17.1"
"Average Maximum Temperature","1958M07","Belmullet","Degrees C","17.6"
