,Statistic,Year,State,UNIT,VALUE
0,All Livestock,1990,State,Euro Million,2201.9
1,All Livestock,1991,State,Euro Million,2114.0
2,All Livestock,1992,State,Euro Million,2262.5
3,All Livestock,1993,State,Euro Million,2449.6
4,All Livestock,1994,State,Euro Million,2319.3
5,All Livestock,1995,State,Euro Million,2349.1
6,All Livestock,1996,State,Euro Million,2318.2
7,All Livestock,1997,State,Euro Million,2205.5
8,All Livestock,1998,State,Euro Million,2152.5
9,All Livestock,1999,State,Euro Million,2067.9
10,All Livestock,2000,State,Euro Million,2170.6
11,All Livestock,2001,State,Euro Million,2175.1
12,All Livestock,2002,State,Euro Million,2014.8
13,All Livestock,2003,State,Euro Million,2065.4
14,All Livestock,2004,State,Euro Million,2212.8
15,All Livestock,2005,State,Euro Million,2273.8
16,All Livestock,2006,State,Euro Million,2386.8
17,All Livestock,2007,State,Euro Million,2378.7
18,All Livestock,2008,State,Euro Million,2541.7
19,All Livestock,2009,State,Euro Million,2222.8
20,All Livestock,2010,State,Euro Million,2259.6
21,All Livestock,2011,State,Euro Million,2644.8
22,All Livestock,2012,State,Euro Million,3065.0
23,All Livestock,2013,State,Euro Million,3147.6
24,All Livestock,2014,State,Euro Million,3070.1
25,All Livestock,2015,State,Euro Million,3452.5
26,All Livestock,2016,State,Euro Million,3440.2
27,All Livestock,2017,State,Euro Million,3592.4
28,All Livestock,2018,State,Euro Million,3431.4
29,All Livestock,2019,State,Euro Million,3372.4
30,All Livestock,2020,State,Euro Million,3591.8
31,All Livestock,2021,State,Euro Million,3892.0
32,Livestock - Cattle,1990,State,Euro Million,1575.6
33,Livestock - Cattle,1991,State,Euro Million,1477.4
34,Livestock - Cattle,1992,State,Euro Million,1603.5
35,Livestock - Cattle,1993,State,Euro Million,1758.7
36,Livestock - Cattle,1994,State,Euro Million,1614.0
37,Livestock - Cattle,1995,State,Euro Million,1659.1
38,Livestock - Cattle,1996,State,Euro Million,1482.7
39,Livestock - Cattle,1997,State,Euro Million,1382.6
40,Livestock - Cattle,1998,State,Euro Million,1385.0
41,Livestock - Cattle,1999,State,Euro Million,1330.7
42,Livestock - Cattle,2000,State,Euro Million,1382.1
43,Livestock - Cattle,2001,State,Euro Million,1260.3
44,Livestock - Cattle,2002,State,Euro Million,1179.0
45,Livestock - Cattle,2003,State,Euro Million,1244.0
46,Livestock - Cattle,2004,State,Euro Million,1346.1
47,Livestock - Cattle,2005,State,Euro Million,1406.2
48,Livestock - Cattle,2006,State,Euro Million,1494.5
49,Livestock - Cattle,2007,State,Euro Million,1503.5
50,Livestock - Cattle,2008,State,Euro Million,1686.5
51,Livestock - Cattle,2009,State,Euro Million,1475.6
52,Livestock - Cattle,2010,State,Euro Million,1502.3
53,Livestock - Cattle,2011,State,Euro Million,1795.1
54,Livestock - Cattle,2012,State,Euro Million,2119.5
55,Livestock - Cattle,2013,State,Euro Million,2151.8
56,Livestock - Cattle,2014,State,Euro Million,2012.3
57,Livestock - Cattle,2015,State,Euro Million,2361.5
58,Livestock - Cattle,2016,State,Euro Million,2288.9
59,Livestock - Cattle,2017,State,Euro Million,2362.1
60,Livestock - Cattle,2018,State,Euro Million,2248.1
61,Livestock - Cattle,2019,State,Euro Million,2143.9
62,Livestock - Cattle,2020,State,Euro Million,2290.5
63,Livestock - Cattle,2021,State,Euro Million,2520.0
64,Livestock - Pig,1990,State,Euro Million,237.2
65,Livestock - Pig,1991,State,Euro Million,242.1
66,Livestock - Pig,1992,State,Euro Million,280.4
67,Livestock - Pig,1993,State,Euro Million,257.9
68,Livestock - Pig,1994,State,Euro Million,264.5
69,Livestock - Pig,1995,State,Euro Million,295.5
70,Livestock - Pig,1996,State,Euro Million,356.5
71,Livestock - Pig,1997,State,Euro Million,337.0
72,Livestock - Pig,1998,State,Euro Million,282.6
73,Livestock - Pig,1999,State,Euro Million,251.4
74,Livestock - Pig,2000,State,Euro Million,296.7
75,Livestock - Pig,2001,State,Euro Million,346.1
76,Livestock - Pig,2002,State,Euro Million,300.9
77,Livestock - Pig,2003,State,Euro Million,285.1
78,Livestock - Pig,2004,State,Euro Million,297.5
79,Livestock - Pig,2005,State,Euro Million,292.9
