Statistic,Year,State,UNIT,VALUE
All Livestock,1990,State,Euro Million,2201.9
All Livestock,1991,State,Euro Million,2114.0
All Livestock,1992,State,Euro Million,2262.5
All Livestock,1993,State,Euro Million,2449.6
All Livestock,1994,State,Euro Million,2319.3
All Livestock,1995,State,Euro Million,2349.1
All Livestock,1996,State,Euro Million,2318.2
All Livestock,1997,State,Euro Million,2205.5
All Livestock,1998,State,Euro Million,2152.5
All Livestock,1999,State,Euro Million,2067.9
All Livestock,2000,State,Euro Million,2170.6
All Livestock,2001,State,Euro Million,2175.1
All Livestock,2002,State,Euro Million,2014.8
All Livestock,2003,State,Euro Million,2065.4
All Livestock,2004,State,Euro Million,2212.8
All Livestock,2005,State,Euro Million,2273.8
All Livestock,2006,State,Euro Million,2386.8
All Livestock,2007,State,Euro Million,2378.7
All Livestock,2008,State,Euro Million,2541.7
All Livestock,2009,State,Euro Million,2222.8
All Livestock,2010,State,Euro Million,2259.6
All Livestock,2011,State,Euro Million,2644.8
All Livestock,2012,State,Euro Million,3065.0
All Livestock,2013,State,Euro Million,3147.6
All Livestock,2014,State,Euro Million,3070.1
All Livestock,2015,State,Euro Million,3452.5
All Livestock,2016,State,Euro Million,3440.2
All Livestock,2017,State,Euro Million,3592.4
All Livestock,2018,State,Euro Million,3431.4
All Livestock,2019,State,Euro Million,3372.4
All Livestock,2020,State,Euro Million,3591.8
All Livestock,2021,State,Euro Million,3892.0
Livestock - Cattle,1990,State,Euro Million,1575.6
Livestock - Cattle,1991,State,Euro Million,1477.4
Livestock - Cattle,1992,State,Euro Million,1603.5
Livestock - Cattle,1993,State,Euro Million,1758.7
Livestock - Cattle,1994,State,Euro Million,1614.0
Livestock - Cattle,1995,State,Euro Million,1659.1
Livestock - Cattle,1996,State,Euro Million,1482.7
Livestock - Cattle,1997,State,Euro Million,1382.6
Livestock - Cattle,1998,State,Euro Million,1385.0
Livestock - Cattle,1999,State,Euro Million,1330.7
Livestock - Cattle,2000,State,Euro Million,1382.1
Livestock - Cattle,2001,State,Euro Million,1260.3
Livestock - Cattle,2002,State,Euro Million,1179.0
Livestock - Cattle,2003,State,Euro Million,1244.0
Livestock - Cattle,2004,State,Euro Million,1346.1
Livestock - Cattle,2005,State,Euro Million,1406.2
Livestock - Cattle,2006,State,Euro Million,1494.5
Livestock - Cattle,2007,State,Euro Million,1503.5
Livestock - Cattle,2008,State,Euro Million,1686.5
Livestock - Cattle,2009,State,Euro Million,1475.6
Livestock - Cattle,2010,State,Euro Million,1502.3
Livestock - Cattle,2011,State,Euro Million,1795.1
Livestock - Cattle,2012,State,Euro Million,2119.5
Livestock - Cattle,2013,State,Euro Million,2151.8
Livestock - Cattle,2014,State,Euro Million,2012.3
Livestock - Cattle,2015,State,Euro Million,2361.5
Livestock - Cattle,2016,State,Euro Million,2288.9
Livestock - Cattle,2017,State,Euro Million,2362.1
Livestock - Cattle,2018,State,Euro Million,2248.1
Livestock - Cattle,2019,State,Euro Million,2143.9
Livestock - Cattle,2020,State,Euro Million,2290.5
