,Statistic,Year,State,UNIT,VALUE
0,All Subsidies on Products,1990,State,Euro Million,408.9
1,All Subsidies on Products,1991,State,Euro Million,357.3
2,All Subsidies on Products,1992,State,Euro Million,446.0
3,All Subsidies on Products,1993,State,Euro Million,466.4
4,All Subsidies on Products,1994,State,Euro Million,666.0
5,All Subsidies on Products,1995,State,Euro Million,735.5
6,All Subsidies on Products,1996,State,Euro Million,806.0
7,All Subsidies on Products,1997,State,Euro Million,808.7
8,All Subsidies on Products,1998,State,Euro Million,899.6
9,All Subsidies on Products,1999,State,Euro Million,743.7
10,All Subsidies on Products,2000,State,Euro Million,876.7
11,All Subsidies on Products,2001,State,Euro Million,710.8
12,All Subsidies on Products,2002,State,Euro Million,904.1
13,All Subsidies on Products,2003,State,Euro Million,928.4
14,All Subsidies on Products,2004,State,Euro Million,912.1
15,All Subsidies on Products,2005,State,Euro Million,453.4
16,All Subsidies on Products,2006,State,Euro Million,3.8
17,All Subsidies on Products,2007,State,Euro Million,0.7
18,All Subsidies on Products,2008,State,Euro Million,32.4
19,All Subsidies on Products,2009,State,Euro Million,30.0
20,All Subsidies on Products,2010,State,Euro Million,31.8
21,All Subsidies on Products,2011,State,Euro Million,31.0
22,All Subsidies on Products,2012,State,Euro Million,28.5
23,All Subsidies on Products,2013,State,Euro Million,9.4
24,All Subsidies on Products,2014,State,Euro Million,28.8
25,All Subsidies on Products,2015,State,Euro Million,43.2
26,All Subsidies on Products,2016,State,Euro Million,55.9
27,All Subsidies on Products,2017,State,Euro Million,60.5
28,All Subsidies on Products,2018,State,Euro Million,65.1
29,All Subsidies on Products,2019,State,Euro Million,150.6
30,All Subsidies on Products,2020,State,Euro Million,147.2
31,Subsidies on Products - Cattle,1990,State,Euro Million,209.4
32,Subsidies on Products - Cattle,1991,State,Euro Million,179.5
33,Subsidies on Products - Cattle,1992,State,Euro Million,273.1
34,Subsidies on Products - Cattle,1993,State,Euro Million,219.8
35,Subsidies on Products - Cattle,1994,State,Euro Million,414.2
36,Subsidies on Products - Cattle,1995,State,Euro Million,481.6
37,Subsidies on Products - Cattle,1996,State,Euro Million,530.2
38,Subsidies on Products - Cattle,1997,State,Euro Million,570.8
39,Subsidies on Products - Cattle,1998,State,Euro Million,623.5
40,Subsidies on Products - Cattle,1999,State,Euro Million,460.2
41,Subsidies on Products - Cattle,2000,State,Euro Million,632.7
42,Subsidies on Products - Cattle,2001,State,Euro Million,512.6
43,Subsidies on Products - Cattle,2002,State,Euro Million,675.7
44,Subsidies on Products - Cattle,2003,State,Euro Million,695.0
45,Subsidies on Products - Cattle,2004,State,Euro Million,625.5
46,Subsidies on Products - Cattle,2005,State,Euro Million,438.8
47,Subsidies on Products - Cattle,2006,State,Euro Million,3.4
48,Subsidies on Products - Cattle,2007,State,Euro Million,0.6
49,Subsidies on Products - Cattle,2008,State,Euro Million,32.3
50,Subsidies on Products - Cattle,2009,State,Euro Million,29.9
51,Subsidies on Products - Cattle,2010,State,Euro Million,31.6
52,Subsidies on Products - Cattle,2011,State,Euro Million,30.8
53,Subsidies on Products - Cattle,2012,State,Euro Million,28.5
54,Subsidies on Products - Cattle,2013,State,Euro Million,9.4
55,Subsidies on Products - Cattle,2014,State,Euro Million,28.8
56,Subsidies on Products - Cattle,2015,State,Euro Million,43.2
57,Subsidies on Products - Cattle,2016,State,Euro Million,55.9
58,Subsidies on Products - Cattle,2017,State,Euro Million,44.7
59,Subsidies on Products - Cattle,2018,State,Euro Million,47.5
60,Subsidies on Products - Cattle,2019,State,Euro Million,133.2
61,Subsidies on Products - Cattle,2020,State,Euro Million,130.4
62,Subsidies on Products - Sheep,1990,State,Euro Million,199.1
63,Subsidies on Products - Sheep,1991,State,Euro Million,176.9
64,Subsidies on Products - Sheep,1992,State,Euro Million,170.6
65,Subsidies on Products - Sheep,1993,State,Euro Million,186.4
66,Subsidies on Products - Sheep,1994,State,Euro Million,175.4
67,Subsidies on Products - Sheep,1995,State,Euro Million,163.0
68,Subsidies on Products - Sheep,1996,State,Euro Million,172.4
69,Subsidies on Products - Sheep,1997,State,Euro Million,123.9
70,Subsidies on Products - Sheep,1998,State,Euro Million,148.3
71,Subsidies on Products - Sheep,1999,State,Euro Million,155.3
72,Subsidies on Products - Sheep,2000,State,Euro Million,133.6
73,Subsidies on Products - Sheep,2001,State,Euro Million,82.0
74,Subsidies on Products - Sheep,2002,State,Euro Million,108.3
75,Subsidies on Products - Sheep,2003,State,Euro Million,109.3
76,Subsidies on Products - Sheep,2004,State,Euro Million,106.6
77,Subsidies on Products - Sheep,2005,State,Euro Million,11.5
78,Subsidies on Products - Sheep,2006,State,Euro Million,0.2
79,Subsidies on Products - Sheep,2007,State,Euro Million,0.0
80,Subsidies on Products - Sheep,2008,State,Euro Million,0.0
81,Subsidies on Products - Sheep,2009,State,Euro Million,0.0
82,Subsidies on Products - Sheep,2010,State,Euro Million,0.0
83,Subsidies on Products - Sheep,2011,State,Euro Million,0.0
84,Subsidies on Products - Sheep,2012,State,Euro Million,0.0
85,Subsidies on Products - Sheep,2013,State,Euro Million,0.0
86,Subsidies on Products - Sheep,2014,State,Euro Million,0.0
87,Subsidies on Products - Sheep,2015,State,Euro Million,0.0
88,Subsidies on Products - Sheep,2016,State,Euro Million,0.0
89,Subsidies on Products - Sheep,2017,State,Euro Million,15.9
90,Subsidies on Products - Sheep,2018,State,Euro Million,17.7
91,Subsidies on Products - Sheep,2019,State,Euro Million,17.4
92,Subsidies on Products - Sheep,2020,State,Euro Million,16.8
93,Subsidies on Products - Cereals,1990,State,Euro Million,0.0
94,Subsidies on Products - Cereals,1991,State,Euro Million,0.0
95,Subsidies on Products - Cereals,1992,State,Euro Million,0.0
96,Subsidies on Products - Cereals,1993,State,Euro Million,48.5
97,Subsidies on Products - Cereals,1994,State,Euro Million,71.2
98,Subsidies on Products - Cereals,1995,State,Euro Million,85.9
99,Subsidies on Products - Cereals,1996,State,Euro Million,97.9
100,Subsidies on Products - Cereals,1997,State,Euro Million,106.7
101,Subsidies on Products - Cereals,1998,State,Euro Million,100.4
102,Subsidies on Products - Cereals,1999,State,Euro Million,94.6
103,Subsidies on Products - Cereals,2000,State,Euro Million,99.7
104,Subsidies on Products - Cereals,2001,State,Euro Million,108.4
105,Subsidies on Products - Cereals,2002,State,Euro Million,112.4
106,Subsidies on Products - Cereals,2003,State,Euro Million,116.3
107,Subsidies on Products - Cereals,2004,State,Euro Million,112.2
108,Subsidies on Products - Cereals,2005,State,Euro Million,1.8
109,Subsidies on Products - Cereals,2006,State,Euro Million,0.0
110,Subsidies on Products - Cereals,2007,State,Euro Million,0.0
111,Subsidies on Products - Cereals,2008,State,Euro Million,0.0
112,Subsidies on Products - Cereals,2009,State,Euro Million,0.0
113,Subsidies on Products - Cereals,2010,State,Euro Million,0.2
114,Subsidies on Products - Cereals,2011,State,Euro Million,0.2
115,Subsidies on Products - Cereals,2012,State,Euro Million,0.0
