,Statistic,Year,Agricultural Product,UNIT,VALUE
0,Agricultural Input and Output Price Indices,1995,Total Index (Output),Base 2000=100,110.3
1,Agricultural Input and Output Price Indices,1995,Total Livestock and Livestock Products (Output),Base 2000=100,110.2
2,Agricultural Input and Output Price Indices,1995,Total Livestock Products (Output),Base 2000=100,105.5
3,Agricultural Input and Output Price Indices,1995,Milk (Output),Base 2000=100,105.2
4,Agricultural Input and Output Price Indices,1995,Total Livestock (Output),Base 2000=100,113.8
5,Agricultural Input and Output Price Indices,1995,Total Cattle (Output),Base 2000=100,120.7
6,Agricultural Input and Output Price Indices,1995,Finished Cattle (Output),Base 2000=100,119.4
7,Agricultural Input and Output Price Indices,1995,Cows for Slaughter (Output),Base 2000=100,135.6
8,Agricultural Input and Output Price Indices,1995,Store Cattle (Output),Base 2000=100,114.7
9,Agricultural Input and Output Price Indices,1995,Sheep (Output),Base 2000=100,89.8
10,Agricultural Input and Output Price Indices,1995,Pigs (Output),Base 2000=100,110.7
11,Agricultural Input and Output Price Indices,1995,Poultry (Output),Base 2000=100,104.4
12,Agricultural Input and Output Price Indices,1995,Total Crop Products (Output),Base 2000=100,110.6
13,Agricultural Input and Output Price Indices,1995,Cereals (Output),Base 2000=100,130.6
14,Agricultural Input and Output Price Indices,1995,Sugarbeet (Output),Base 2000=100,100.6
15,Agricultural Input and Output Price Indices,1995,Potatoes (Output),Base 2000=100,128.6
16,Agricultural Input and Output Price Indices,1995,Vegetables (Output),Base 2000=100,92.5
17,Agricultural Input and Output Price Indices,1995,Total Index (Input),Base 2000=100,93.4
18,Agricultural Input and Output Price Indices,1995,All Feeding Stuffs,Base 2000=100,103.4
19,Agricultural Input and Output Price Indices,1995,Straight Feeding Stuffs (Input),Base 2000=100,106.0
20,Agricultural Input and Output Price Indices,1995,Compound Feeding Stuffs - Calf (Input),Base 2000=100,108.3
21,Agricultural Input and Output Price Indices,1995,Compound Feeding Stuffs - Cattle (Input),Base 2000=100,106.0
22,Agricultural Input and Output Price Indices,1995,Compound Feeding Stuffs - Pig (Input),Base 2000=100,99.5
23,Agricultural Input and Output Price Indices,1995,Compound Feeding Stuffs - Poultry (Input),Base 2000=100,98.9
24,Agricultural Input and Output Price Indices,1995,All Fertilisers  (Input),Base 2000=100,96.4
25,Agricultural Input and Output Price Indices,1995,Straight Fertilisers  (Input),Base 2000=100,97.5
26,Agricultural Input and Output Price Indices,1995,Compound Fertilisers - N.P.K. (Input),Base 2000=100,98.3
27,Agricultural Input and Output Price Indices,1995,Compound Fertilisers - P.K. (Input),Base 2000=100,88.5
28,Agricultural Input and Output Price Indices,1995,All Energy (Input),Base 2000=100,71.7
29,Agricultural Input and Output Price Indices,1995,Energy - Motor Fuels  (Input),Base 2000=100,66.0
30,Agricultural Input and Output Price Indices,1995,Energy - Electricity  (Input),Base 2000=100,96.0
31,Agricultural Input and Output Price Indices,1995,Other Products  (Input),Base 2000=100,90.3
32,Agricultural Input and Output Price Indices,1995,Seeds  (Input),Base 2000=100,98.0
33,Agricultural Input and Output Price Indices,1995,Plant Protection Products (Input),Base 2000=100,97.5
34,Agricultural Input and Output Price Indices,1995,Veterinary Expenses (Including A.I.) (Input),Base 2000=100,85.8
35,Agricultural Input and Output Price Indices,1996,Total Index (Output),Base 2000=100,105.3
36,Agricultural Input and Output Price Indices,1996,Total Livestock and Livestock Products (Output),Base 2000=100,105.9
37,Agricultural Input and Output Price Indices,1996,Total Livestock Products (Output),Base 2000=100,105.6
38,Agricultural Input and Output Price Indices,1996,Milk (Output),Base 2000=100,105.4
39,Agricultural Input and Output Price Indices,1996,Total Livestock (Output),Base 2000=100,106.2
40,Agricultural Input and Output Price Indices,1996,Total Cattle (Output),Base 2000=100,101.7
41,Agricultural Input and Output Price Indices,1996,Finished Cattle (Output),Base 2000=100,101.0
42,Agricultural Input and Output Price Indices,1996,Cows for Slaughter (Output),Base 2000=100,108.7
43,Agricultural Input and Output Price Indices,1996,Store Cattle (Output),Base 2000=100,99.1
44,Agricultural Input and Output Price Indices,1996,Sheep (Output),Base 2000=100,109.6
45,Agricultural Input and Output Price Indices,1996,Pigs (Output),Base 2000=100,123.4
46,Agricultural Input and Output Price Indices,1996,Poultry (Output),Base 2000=100,105.9
47,Agricultural Input and Output Price Indices,1996,Total Crop Products (Output),Base 2000=100,100.7
48,Agricultural Input and Output Price Indices,1996,Cereals (Output),Base 2000=100,115.8
49,Agricultural Input and Output Price Indices,1996,Sugarbeet (Output),Base 2000=100,96.0
50,Agricultural Input and Output Price Indices,1996,Potatoes (Output),Base 2000=100,85.2
51,Agricultural Input and Output Price Indices,1996,Vegetables (Output),Base 2000=100,96.3
52,Agricultural Input and Output Price Indices,1996,Total Index (Input),Base 2000=100,97.3
53,Agricultural Input and Output Price Indices,1996,All Feeding Stuffs,Base 2000=100,107.9
54,Agricultural Input and Output Price Indices,1996,Straight Feeding Stuffs (Input),Base 2000=100,109.3
55,Agricultural Input and Output Price Indices,1996,Compound Feeding Stuffs - Calf (Input),Base 2000=100,111.9
56,Agricultural Input and Output Price Indices,1996,Compound Feeding Stuffs - Cattle (Input),Base 2000=100,110.7
57,Agricultural Input and Output Price Indices,1996,Compound Feeding Stuffs - Pig (Input),Base 2000=100,104.8
58,Agricultural Input and Output Price Indices,1996,Compound Feeding Stuffs - Poultry (Input),Base 2000=100,102.8
59,Agricultural Input and Output Price Indices,1996,All Fertilisers  (Input),Base 2000=100,101.0
60,Agricultural Input and Output Price Indices,1996,Straight Fertilisers  (Input),Base 2000=100,102.0
61,Agricultural Input and Output Price Indices,1996,Compound Fertilisers - N.P.K. (Input),Base 2000=100,102.5
62,Agricultural Input and Output Price Indices,1996,Compound Fertilisers - P.K. (Input),Base 2000=100,92.7
63,Agricultural Input and Output Price Indices,1996,All Energy (Input),Base 2000=100,76.6
64,Agricultural Input and Output Price Indices,1996,Energy - Motor Fuels  (Input),Base 2000=100,71.8
65,Agricultural Input and Output Price Indices,1996,Energy - Electricity  (Input),Base 2000=100,97.5
66,Agricultural Input and Output Price Indices,1996,Other Products  (Input),Base 2000=100,91.2
67,Agricultural Input and Output Price Indices,1996,Seeds  (Input),Base 2000=100,103.4
68,Agricultural Input and Output Price Indices,1996,Plant Protection Products (Input),Base 2000=100,100.8
69,Agricultural Input and Output Price Indices,1996,Veterinary Expenses (Including A.I.) (Input),Base 2000=100,89.3
70,Agricultural Input and Output Price Indices,1997,Total Index (Output),Base 2000=100,98.8
71,Agricultural Input and Output Price Indices,1997,Total Livestock and Livestock Products (Output),Base 2000=100,99.9
72,Agricultural Input and Output Price Indices,1997,Total Livestock Products (Output),Base 2000=100,98.1
73,Agricultural Input and Output Price Indices,1997,Milk (Output),Base 2000=100,97.8
74,Agricultural Input and Output Price Indices,1997,Total Livestock (Output),Base 2000=100,101.3
75,Agricultural Input and Output Price Indices,1997,Total Cattle (Output),Base 2000=100,96.3
76,Agricultural Input and Output Price Indices,1997,Finished Cattle (Output),Base 2000=100,95.2
77,Agricultural Input and Output Price Indices,1997,Cows for Slaughter (Output),Base 2000=100,102.8
78,Agricultural Input and Output Price Indices,1997,Store Cattle (Output),Base 2000=100,95.9
79,Agricultural Input and Output Price Indices,1997,Sheep (Output),Base 2000=100,112.4
80,Agricultural Input and Output Price Indices,1997,Pigs (Output),Base 2000=100,109.9
81,Agricultural Input and Output Price Indices,1997,Poultry (Output),Base 2000=100,108.3
82,Agricultural Input and Output Price Indices,1997,Total Crop Products (Output),Base 2000=100,91.2
83,Agricultural Input and Output Price Indices,1997,Cereals (Output),Base 2000=100,94.8
84,Agricultural Input and Output Price Indices,1997,Sugarbeet (Output),Base 2000=100,97.6
85,Agricultural Input and Output Price Indices,1997,Potatoes (Output),Base 2000=100,73.0
86,Agricultural Input and Output Price Indices,1997,Vegetables (Output),Base 2000=100,92.1
87,Agricultural Input and Output Price Indices,1997,Total Index (Input),Base 2000=100,95.3
88,Agricultural Input and Output Price Indices,1997,All Feeding Stuffs,Base 2000=100,103.5
89,Agricultural Input and Output Price Indices,1997,Straight Feeding Stuffs (Input),Base 2000=100,104.9
90,Agricultural Input and Output Price Indices,1997,Compound Feeding Stuffs - Calf (Input),Base 2000=100,107.7
91,Agricultural Input and Output Price Indices,1997,Compound Feeding Stuffs - Cattle (Input),Base 2000=100,104.4
92,Agricultural Input and Output Price Indices,1997,Compound Feeding Stuffs - Pig (Input),Base 2000=100,101.4
