,Statistic,Year,Type of Crop,UNIT,VALUE
0,Area under Crops,1985,"Total wheat, oats and barley",000 Hectares,386.2
1,Area under Crops,1985,Total wheat,000 Hectares,77.7
2,Area under Crops,1985,Winter wheat,000 Hectares,60.3
3,Area under Crops,1985,Spring wheat,000 Hectares,17.4
4,Area under Crops,1985,Total oats,000 Hectares,24.9
5,Area under Crops,1985,Winter oats,000 Hectares,9.1
6,Area under Crops,1985,Spring oats,000 Hectares,15.8
7,Area under Crops,1985,Total barley,000 Hectares,283.6
8,Area under Crops,1985,Winter barley,000 Hectares,35.5
9,Area under Crops,1985,Spring barley,000 Hectares,248.1
10,Area under Crops,1985,Beans and peas,000 Hectares,2.3
11,Area under Crops,1985,Oilseed rape,000 Hectares,0.0
12,Area under Crops,1985,Potatoes,000 Hectares,32.1
13,Area under Crops,1985,Turnips,000 Hectares,8.7
14,Area under Crops,1985,Sugar beet,000 Hectares,33.9
15,Area under Crops,1985,Fodder beet,000 Hectares,5.7
16,Area under Crops,1985,Kale and field cabbage,000 Hectares,3.7
17,Area under Crops,1986,"Total wheat, oats and barley",000 Hectares,362.6
18,Area under Crops,1986,Total wheat,000 Hectares,74.6
19,Area under Crops,1986,Winter wheat,000 Hectares,57.0
20,Area under Crops,1986,Spring wheat,000 Hectares,17.6
21,Area under Crops,1986,Total oats,000 Hectares,23.0
22,Area under Crops,1986,Winter oats,000 Hectares,8.8
23,Area under Crops,1986,Spring oats,000 Hectares,14.2
24,Area under Crops,1986,Total barley,000 Hectares,265.0
25,Area under Crops,1986,Winter barley,000 Hectares,33.9
26,Area under Crops,1986,Spring barley,000 Hectares,231.1
27,Area under Crops,1986,Beans and peas,000 Hectares,2.4
28,Area under Crops,1986,Oilseed rape,000 Hectares,0.0
29,Area under Crops,1986,Potatoes,000 Hectares,29.5
30,Area under Crops,1986,Turnips,000 Hectares,8.9
31,Area under Crops,1986,Sugar beet,000 Hectares,37.0
32,Area under Crops,1986,Fodder beet,000 Hectares,6.4
33,Area under Crops,1986,Kale and field cabbage,000 Hectares,3.5
34,Area under Crops,1987,"Total wheat, oats and barley",000 Hectares,334.3
35,Area under Crops,1987,Total wheat,000 Hectares,56.1
36,Area under Crops,1987,Winter wheat,000 Hectares,38.3
37,Area under Crops,1987,Spring wheat,000 Hectares,17.8
38,Area under Crops,1987,Total oats,000 Hectares,22.9
39,Area under Crops,1987,Winter oats,000 Hectares,9.0
40,Area under Crops,1987,Spring oats,000 Hectares,13.9
41,Area under Crops,1987,Total barley,000 Hectares,255.3
42,Area under Crops,1987,Winter barley,000 Hectares,33.6
43,Area under Crops,1987,Spring barley,000 Hectares,221.7
44,Area under Crops,1987,Beans and peas,000 Hectares,2.3
45,Area under Crops,1987,Oilseed rape,000 Hectares,0.0
46,Area under Crops,1987,Potatoes,000 Hectares,29.2
47,Area under Crops,1987,Turnips,000 Hectares,8.9
48,Area under Crops,1987,Sugar beet,000 Hectares,37.1
49,Area under Crops,1987,Fodder beet,000 Hectares,6.4
50,Area under Crops,1987,Kale and field cabbage,000 Hectares,2.9
51,Area under Crops,1988,"Total wheat, oats and barley",000 Hectares,323.6
52,Area under Crops,1988,Total wheat,000 Hectares,58.6
53,Area under Crops,1988,Winter wheat,000 Hectares,37.2
54,Area under Crops,1988,Spring wheat,000 Hectares,21.4
55,Area under Crops,1988,Total oats,000 Hectares,22.6
56,Area under Crops,1988,Winter oats,000 Hectares,9.6
57,Area under Crops,1988,Spring oats,000 Hectares,13.0
58,Area under Crops,1988,Total barley,000 Hectares,242.5
59,Area under Crops,1988,Winter barley,000 Hectares,28.0
60,Area under Crops,1988,Spring barley,000 Hectares,214.5
61,Area under Crops,1988,Beans and peas,000 Hectares,2.6
62,Area under Crops,1988,Oilseed rape,000 Hectares,4.7
63,Area under Crops,1988,Potatoes,000 Hectares,27.1
64,Area under Crops,1988,Turnips,000 Hectares,8.1
65,Area under Crops,1988,Sugar beet,000 Hectares,33.3
66,Area under Crops,1988,Fodder beet,000 Hectares,6.9
67,Area under Crops,1988,Kale and field cabbage,000 Hectares,2.5
68,Area under Crops,1989,"Total wheat, oats and barley",000 Hectares,319.6
69,Area under Crops,1989,Total wheat,000 Hectares,60.7
70,Area under Crops,1989,Winter wheat,000 Hectares,43.0
71,Area under Crops,1989,Spring wheat,000 Hectares,17.7
