,Statistic,Year,Type of Crop,UNIT,VALUE
0,Area under Crops,2008,"Total wheat, oats and barley",000 Hectares,320.7
1,Area under Crops,2008,Total wheat,000 Hectares,110.7
2,Area under Crops,2008,Winter wheat,000 Hectares,87.5
3,Area under Crops,2008,Spring wheat,000 Hectares,23.2
4,Area under Crops,2008,Total oats,000 Hectares,22.9
5,Area under Crops,2008,Winter oats,000 Hectares,18.7
6,Area under Crops,2008,Spring oats,000 Hectares,4.2
7,Area under Crops,2008,Total barley,000 Hectares,187.2
8,Area under Crops,2008,Winter barley,000 Hectares,21.1
9,Area under Crops,2008,Spring barley,000 Hectares,166.0
10,Area under Crops,2008,Beans and peas,000 Hectares,2.5
11,Area under Crops,2008,Oilseed rape,000 Hectares,5.6
12,Area under Crops,2008,Potatoes,000 Hectares,11.2
13,Area under Crops,2009,"Total wheat, oats and barley",000 Hectares,298.5
14,Area under Crops,2009,Total wheat,000 Hectares,84.5
15,Area under Crops,2009,Winter wheat,000 Hectares,64.3
16,Area under Crops,2009,Spring wheat,000 Hectares,20.2
17,Area under Crops,2009,Total oats,000 Hectares,20.4
18,Area under Crops,2009,Winter oats,000 Hectares,9.1
19,Area under Crops,2009,Spring oats,000 Hectares,11.3
20,Area under Crops,2009,Total barley,000 Hectares,193.6
21,Area under Crops,2009,Winter barley,000 Hectares,19.3
22,Area under Crops,2009,Spring barley,000 Hectares,174.3
23,Area under Crops,2009,Beans and peas,000 Hectares,4.2
24,Area under Crops,2009,Oilseed rape,000 Hectares,6.3
25,Area under Crops,2009,Potatoes,000 Hectares,12.2
26,Area under Crops,2010,"Total wheat, oats and barley",000 Hectares,272.3
27,Area under Crops,2010,Total wheat,000 Hectares,77.8
28,Area under Crops,2010,Winter wheat,000 Hectares,59.8
29,Area under Crops,2010,Spring wheat,000 Hectares,18.0
30,Area under Crops,2010,Total oats,000 Hectares,19.7
31,Area under Crops,2010,Winter oats,000 Hectares,10.3
32,Area under Crops,2010,Spring oats,000 Hectares,9.4
33,Area under Crops,2010,Total barley,000 Hectares,174.8
34,Area under Crops,2010,Winter barley,000 Hectares,28.8
35,Area under Crops,2010,Spring barley,000 Hectares,146.0
36,Area under Crops,2010,Beans and peas,000 Hectares,4.6
37,Area under Crops,2010,Oilseed rape,000 Hectares,8.0
38,Area under Crops,2010,Potatoes,000 Hectares,12.2
39,Area under Crops,2011,"Total wheat, oats and barley",000 Hectares,296.2
40,Area under Crops,2011,Total wheat,000 Hectares,94.2
41,Area under Crops,2011,Winter wheat,000 Hectares,77.7
42,Area under Crops,2011,Spring wheat,000 Hectares,16.4
43,Area under Crops,2011,Total oats,000 Hectares,21.4
44,Area under Crops,2011,Winter oats,000 Hectares,9.0
45,Area under Crops,2011,Spring oats,000 Hectares,12.4
46,Area under Crops,2011,Total barley,000 Hectares,180.6
47,Area under Crops,2011,Winter barley,000 Hectares,35.9
48,Area under Crops,2011,Spring barley,000 Hectares,144.8
49,Area under Crops,2011,Beans and peas,000 Hectares,2.9
50,Area under Crops,2011,Oilseed rape,000 Hectares,12.4
51,Area under Crops,2011,Potatoes,000 Hectares,10.4
52,Area under Crops,2012,"Total wheat, oats and barley",000 Hectares,314.5
53,Area under Crops,2012,Total wheat,000 Hectares,98.0
54,Area under Crops,2012,Winter wheat,000 Hectares,84.6
55,Area under Crops,2012,Spring wheat,000 Hectares,13.5
56,Area under Crops,2012,Total oats,000 Hectares,23.7
57,Area under Crops,2012,Winter oats,000 Hectares,9.9
58,Area under Crops,2012,Spring oats,000 Hectares,13.8
59,Area under Crops,2012,Total barley,000 Hectares,192.8
60,Area under Crops,2012,Winter barley,000 Hectares,41.0
61,Area under Crops,2012,Spring barley,000 Hectares,151.8
62,Area under Crops,2012,Beans and peas,000 Hectares,4.1
63,Area under Crops,2012,Oilseed rape,000 Hectares,17.5
64,Area under Crops,2012,Potatoes,000 Hectares,9.0
65,Area under Crops,2013,"Total wheat, oats and barley",000 Hectares,306.7
66,Area under Crops,2013,Total wheat,000 Hectares,60.6
67,Area under Crops,2013,Winter wheat,000 Hectares,45.4
68,Area under Crops,2013,Spring wheat,000 Hectares,15.2
69,Area under Crops,2013,Total oats,000 Hectares,26.7
70,Area under Crops,2013,Winter oats,000 Hectares,5.4
71,Area under Crops,2013,Spring oats,000 Hectares,21.3
72,Area under Crops,2013,Total barley,000 Hectares,219.4
73,Area under Crops,2013,Winter barley,000 Hectares,36.0
74,Area under Crops,2013,Spring barley,000 Hectares,183.5
75,Area under Crops,2013,Beans and peas,000 Hectares,4.5
76,Area under Crops,2013,Oilseed rape,000 Hectares,13.7
77,Area under Crops,2013,Potatoes,000 Hectares,10.7
78,Area under Crops,2014,"Total wheat, oats and barley",000 Hectares,305.9
79,Area under Crops,2014,Total wheat,000 Hectares,71.6
80,Area under Crops,2014,Winter wheat,000 Hectares,65.1
81,Area under Crops,2014,Spring wheat,000 Hectares,6.5
82,Area under Crops,2014,Total oats,000 Hectares,18.6
83,Area under Crops,2014,Winter oats,000 Hectares,10.1
84,Area under Crops,2014,Spring oats,000 Hectares,8.5
85,Area under Crops,2014,Total barley,000 Hectares,215.7
86,Area under Crops,2014,Winter barley,000 Hectares,60.1
87,Area under Crops,2014,Spring barley,000 Hectares,155.6
88,Area under Crops,2014,Beans and peas,000 Hectares,3.5
89,Area under Crops,2014,Oilseed rape,000 Hectares,9.4
90,Area under Crops,2014,Potatoes,000 Hectares,9.5
91,Area under Crops,2015,"Total wheat, oats and barley",000 Hectares,291.6
92,Area under Crops,2015,Total wheat,000 Hectares,65.3
93,Area under Crops,2015,Winter wheat,000 Hectares,55.3
94,Area under Crops,2015,Spring wheat,000 Hectares,10.1
95,Area under Crops,2015,Total oats,000 Hectares,23.4
96,Area under Crops,2015,Winter oats,000 Hectares,11.4
97,Area under Crops,2015,Spring oats,000 Hectares,12.1
98,Area under Crops,2015,Total barley,000 Hectares,202.8
99,Area under Crops,2015,Winter barley,000 Hectares,69.8
100,Area under Crops,2015,Spring barley,000 Hectares,133.0
