Statistic,Year,Type of Land Use,Region,UNIT,VALUE
Area Farmed in June,2013,Area farmed (AAU),State,000 Hectares,4477.8
Area Farmed in June,2013,Area farmed (AAU),Northern and Western,000 Hectares,1500.6
Area Farmed in June,2013,Area farmed (AAU),Border,000 Hectares,713.3
Area Farmed in June,2013,Area farmed (AAU),West,000 Hectares,787.3
Area Farmed in June,2013,Area farmed (AAU),Southern,000 Hectares,2045.2
Area Farmed in June,2013,Area farmed (AAU),Mid-West,000 Hectares,709.1
Area Farmed in June,2013,Area farmed (AAU),South-East,000 Hectares,534.3
Area Farmed in June,2013,Area farmed (AAU),South-West,000 Hectares,801.8
Area Farmed in June,2013,Area farmed (AAU),Eastern and Midland,000 Hectares,932.0
Area Farmed in June,2013,Area farmed (AAU),Dublin and Mid-East,000 Hectares,504.7
Area Farmed in June,2013,Area farmed (AAU),Midland,000 Hectares,427.4
Area Farmed in June,2013,Crops and pasture,State,000 Hectares,4004.3
Area Farmed in June,2013,Crops and pasture,Northern and Western,000 Hectares,1276.3
Area Farmed in June,2013,Crops and pasture,Border,000 Hectares,596.5
Area Farmed in June,2013,Crops and pasture,West,000 Hectares,679.8
Area Farmed in June,2013,Crops and pasture,Southern,000 Hectares,1847.4
Area Farmed in June,2013,Crops and pasture,Mid-West,000 Hectares,663.9
Area Farmed in June,2013,Crops and pasture,South-East,000 Hectares,508.3
Area Farmed in June,2013,Crops and pasture,South-West,000 Hectares,675.2
Area Farmed in June,2013,Crops and pasture,Eastern and Midland,000 Hectares,880.7
Area Farmed in June,2013,Crops and pasture,Dublin and Mid-East,000 Hectares,471.4
Area Farmed in June,2013,Crops and pasture,Midland,000 Hectares,409.2
Area Farmed in June,2013,Pasture,State,000 Hectares,2337.7
Area Farmed in June,2013,Pasture,Northern and Western,000 Hectares,847.0
Area Farmed in June,2013,Pasture,Border,000 Hectares,386.7
Area Farmed in June,2013,Pasture,West,000 Hectares,460.3
Area Farmed in June,2013,Pasture,Southern,000 Hectares,1033.2
Area Farmed in June,2013,Pasture,Mid-West,000 Hectares,400.4
Area Farmed in June,2013,Pasture,South-East,000 Hectares,242.6
Area Farmed in June,2013,Pasture,South-West,000 Hectares,390.1
Area Farmed in June,2013,Pasture,Eastern and Midland,000 Hectares,457.5
Area Farmed in June,2013,Pasture,Dublin and Mid-East,000 Hectares,225.5
Area Farmed in June,2013,Pasture,Midland,000 Hectares,232.0
Area Farmed in June,2013,Hay,State,000 Hectares,218.4
Area Farmed in June,2013,Hay,Northern and Western,000 Hectares,70.6
Area Farmed in June,2013,Hay,Border,000 Hectares,34.9
Area Farmed in June,2013,Hay,West,000 Hectares,35.8
Area Farmed in June,2013,Hay,Southern,000 Hectares,98.1
Area Farmed in June,2013,Hay,Mid-West,000 Hectares,37.5
Area Farmed in June,2013,Hay,South-East,000 Hectares,30.5
Area Farmed in June,2013,Hay,South-West,000 Hectares,30.1
Area Farmed in June,2013,Hay,Eastern and Midland,000 Hectares,49.6
Area Farmed in June,2013,Hay,Dublin and Mid-East,000 Hectares,25.7
Area Farmed in June,2013,Hay,Midland,000 Hectares,23.9
Area Farmed in June,2013,Grass silage,State,000 Hectares,1071.0
Area Farmed in June,2013,Grass silage,Northern and Western,000 Hectares,342.1
Area Farmed in June,2013,Grass silage,Border,000 Hectares,165.3
Area Farmed in June,2013,Grass silage,West,000 Hectares,176.8
Area Farmed in June,2013,Grass silage,Southern,000 Hectares,519.8
Area Farmed in June,2013,Grass silage,Mid-West,000 Hectares,197.2
Area Farmed in June,2013,Grass silage,South-East,000 Hectares,125.6
Area Farmed in June,2013,Grass silage,South-West,000 Hectares,197.0
Area Farmed in June,2013,Grass silage,Eastern and Midland,000 Hectares,209.1
Area Farmed in June,2013,Grass silage,Dublin and Mid-East,000 Hectares,94.2
Area Farmed in June,2013,Grass silage,Midland,000 Hectares,114.9
Area Farmed in June,2013,"Total crops, fruit and horticulture",State,000 Hectares,377.2
Area Farmed in June,2013,"Total crops, fruit and horticulture",Northern and Western,000 Hectares,16.6
Area Farmed in June,2013,"Total crops, fruit and horticulture",Border,000 Hectares,9.7
Area Farmed in June,2013,"Total crops, fruit and horticulture",West,000 Hectares,6.9
Area Farmed in June,2013,"Total crops, fruit and horticulture",Southern,000 Hectares,196.2
Area Farmed in June,2013,"Total crops, fruit and horticulture",Mid-West,000 Hectares,28.7
Area Farmed in June,2013,"Total crops, fruit and horticulture",South-East,000 Hectares,109.6
Area Farmed in June,2013,"Total crops, fruit and horticulture",South-West,000 Hectares,57.9
Area Farmed in June,2013,"Total crops, fruit and horticulture",Eastern and Midland,000 Hectares,164.4
Area Farmed in June,2013,"Total crops, fruit and horticulture",Dublin and Mid-East,000 Hectares,125.9
Area Farmed in June,2013,"Total crops, fruit and horticulture",Midland,000 Hectares,38.5
Area Farmed in June,2013,Beans and peas,State,000 Hectares,4.5
Area Farmed in June,2013,Beans and peas,Northern and Western,000 Hectares,0.1
Area Farmed in June,2013,Beans and peas,Border,000 Hectares,0.0
Area Farmed in June,2013,Beans and peas,West,000 Hectares,0.1
Area Farmed in June,2013,Beans and peas,Southern,000 Hectares,2.1
Area Farmed in June,2013,Beans and peas,Mid-West,000 Hectares,0.3
Area Farmed in June,2013,Beans and peas,South-East,000 Hectares,1.1
Area Farmed in June,2013,Beans and peas,South-West,000 Hectares,0.8
Area Farmed in June,2013,Beans and peas,Eastern and Midland,000 Hectares,2.3
Area Farmed in June,2013,Beans and peas,Dublin and Mid-East,000 Hectares,1.9
Area Farmed in June,2013,Beans and peas,Midland,000 Hectares,0.4
Area Farmed in June,2013,Oilseed rape,State,000 Hectares,13.7
Area Farmed in June,2013,Oilseed rape,Northern and Western,000 Hectares,0.1
Area Farmed in June,2013,Oilseed rape,Border,000 Hectares,0.1
Area Farmed in June,2013,Oilseed rape,West,000 Hectares,0.0
Area Farmed in June,2013,Oilseed rape,Southern,000 Hectares,6.5
Area Farmed in June,2013,Oilseed rape,Mid-West,000 Hectares,0.9
Area Farmed in June,2013,Oilseed rape,South-East,000 Hectares,4.8
Area Farmed in June,2013,Oilseed rape,South-West,000 Hectares,0.8
Area Farmed in June,2013,Oilseed rape,Eastern and Midland,000 Hectares,7.1
Area Farmed in June,2013,Oilseed rape,Dublin and Mid-East,000 Hectares,6.2
Area Farmed in June,2013,Oilseed rape,Midland,000 Hectares,0.9
Area Farmed in June,2013,Arable silage,State,000 Hectares,3.9
Area Farmed in June,2013,Arable silage,Northern and Western,000 Hectares,0.9
Area Farmed in June,2013,Arable silage,Border,000 Hectares,0.6
Area Farmed in June,2013,Arable silage,West,000 Hectares,0.3
Area Farmed in June,2013,Arable silage,Southern,000 Hectares,1.8
Area Farmed in June,2013,Arable silage,Mid-West,000 Hectares,0.2
Area Farmed in June,2013,Arable silage,South-East,000 Hectares,0.6
Area Farmed in June,2013,Arable silage,South-West,000 Hectares,0.9
Area Farmed in June,2013,Arable silage,Eastern and Midland,000 Hectares,1.3
Area Farmed in June,2013,Arable silage,Dublin and Mid-East,000 Hectares,0.7
Area Farmed in June,2013,Arable silage,Midland,000 Hectares,0.6
Area Farmed in June,2013,Maize silage,State,000 Hectares,14.5
Area Farmed in June,2013,Maize silage,Northern and Western,000 Hectares,0.5
Area Farmed in June,2013,Maize silage,Border,000 Hectares,0.3
Area Farmed in June,2013,Maize silage,West,000 Hectares,0.2
Area Farmed in June,2013,Maize silage,Southern,000 Hectares,8.9
Area Farmed in June,2013,Maize silage,Mid-West,000 Hectares,1.1
Area Farmed in June,2013,Maize silage,South-East,000 Hectares,3.4
Area Farmed in June,2013,Maize silage,South-West,000 Hectares,4.5
Area Farmed in June,2013,Maize silage,Eastern and Midland,000 Hectares,5.1
Area Farmed in June,2013,Maize silage,Dublin and Mid-East,000 Hectares,4.1
Area Farmed in June,2013,Maize silage,Midland,000 Hectares,1.0
Area Farmed in June,2013,Fodder rape and kale,State,000 Hectares,1.4
Area Farmed in June,2013,Fodder rape and kale,Northern and Western,000 Hectares,0.2
Area Farmed in June,2013,Fodder rape and kale,Border,000 Hectares,0.0
Area Farmed in June,2013,Fodder rape and kale,West,000 Hectares,0.2
Area Farmed in June,2013,Fodder rape and kale,Southern,000 Hectares,0.8
Area Farmed in June,2013,Fodder rape and kale,Mid-West,000 Hectares,0.1
Area Farmed in June,2013,Fodder rape and kale,South-East,000 Hectares,0.3
Area Farmed in June,2013,Fodder rape and kale,South-West,000 Hectares,0.3
Area Farmed in June,2013,Fodder rape and kale,Eastern and Midland,000 Hectares,0.5
Area Farmed in June,2013,Fodder rape and kale,Dublin and Mid-East,000 Hectares,0.2
Area Farmed in June,2013,Fodder rape and kale,Midland,000 Hectares,0.3
Area Farmed in June,2013,Potatoes,State,000 Hectares,10.7
Area Farmed in June,2013,Potatoes,Northern and Western,000 Hectares,1.2
Area Farmed in June,2013,Potatoes,Border,000 Hectares,1.1
Area Farmed in June,2013,Potatoes,West,000 Hectares,0.1
Area Farmed in June,2013,Potatoes,Southern,000 Hectares,3.3
Area Farmed in June,2013,Potatoes,Mid-West,000 Hectares,0.3
Area Farmed in June,2013,Potatoes,South-East,000 Hectares,2.0
Area Farmed in June,2013,Potatoes,South-West,000 Hectares,1.0
Area Farmed in June,2013,Potatoes,Eastern and Midland,000 Hectares,6.2
Area Farmed in June,2013,Potatoes,Dublin and Mid-East,000 Hectares,5.9
Area Farmed in June,2013,Potatoes,Midland,000 Hectares,0.3
Area Farmed in June,2013,Turnips,State,000 Hectares,0.9
Area Farmed in June,2013,Turnips,Northern and Western,000 Hectares,0.1
Area Farmed in June,2013,Turnips,Border,000 Hectares,0.0
Area Farmed in June,2013,Turnips,West,000 Hectares,0.1
Area Farmed in June,2013,Turnips,Southern,000 Hectares,0.5
Area Farmed in June,2013,Turnips,Mid-West,000 Hectares,0.0
Area Farmed in June,2013,Turnips,South-East,000 Hectares,0.3
Area Farmed in June,2013,Turnips,South-West,000 Hectares,0.2
Area Farmed in June,2013,Turnips,Eastern and Midland,000 Hectares,0.3
Area Farmed in June,2013,Turnips,Dublin and Mid-East,000 Hectares,0.1
Area Farmed in June,2013,Turnips,Midland,000 Hectares,0.1
Area Farmed in June,2013,Beet,State,000 Hectares,10.1
Area Farmed in June,2013,Beet,Northern and Western,000 Hectares,0.2
Area Farmed in June,2013,Beet,Border,000 Hectares,0.0
Area Farmed in June,2013,Beet,West,000 Hectares,0.2
Area Farmed in June,2013,Beet,Southern,000 Hectares,7.1
Area Farmed in June,2013,Beet,Mid-West,000 Hectares,0.6
Area Farmed in June,2013,Beet,South-East,000 Hectares,3.3
Area Farmed in June,2013,Beet,South-West,000 Hectares,3.2
Area Farmed in June,2013,Beet,Eastern and Midland,000 Hectares,2.8
Area Farmed in June,2013,Beet,Dublin and Mid-East,000 Hectares,1.4
Area Farmed in June,2013,Beet,Midland,000 Hectares,1.4
Area Farmed in June,2013,Vegetables for sale,State,000 Hectares,3.5
Area Farmed in June,2013,Vegetables for sale,Northern and Western,000 Hectares,0.1
Area Farmed in June,2013,Vegetables for sale,Border,000 Hectares,0.0
Area Farmed in June,2013,Vegetables for sale,West,000 Hectares,0.1
Area Farmed in June,2013,Vegetables for sale,Southern,000 Hectares,0.9
Area Farmed in June,2013,Vegetables for sale,Mid-West,000 Hectares,0.1
Area Farmed in June,2013,Vegetables for sale,South-East,000 Hectares,0.6
Area Farmed in June,2013,Vegetables for sale,South-West,000 Hectares,0.3
Area Farmed in June,2013,Vegetables for sale,Eastern and Midland,000 Hectares,2.4
Area Farmed in June,2013,Vegetables for sale,Dublin and Mid-East,000 Hectares,2.2
Area Farmed in June,2013,Vegetables for sale,Midland,000 Hectares,0.2
Area Farmed in June,2013,Fruit,State,000 Hectares,0.9
Area Farmed in June,2013,Fruit,Northern and Western,000 Hectares,0.1
Area Farmed in June,2013,Fruit,Border,000 Hectares,0.0
Area Farmed in June,2013,Fruit,West,000 Hectares,0.0
Area Farmed in June,2013,Fruit,Southern,000 Hectares,0.5
Area Farmed in June,2013,Fruit,Mid-West,000 Hectares,0.1
Area Farmed in June,2013,Fruit,South-East,000 Hectares,0.4
Area Farmed in June,2013,Fruit,South-West,000 Hectares,0.1
Area Farmed in June,2013,Fruit,Eastern and Midland,000 Hectares,0.4
Area Farmed in June,2013,Fruit,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2013,Fruit,Midland,000 Hectares,0.0
Area Farmed in June,2013,"Nurseries, horticulture etc.",State,000 Hectares,0.5
Area Farmed in June,2013,"Nurseries, horticulture etc.",Northern and Western,000 Hectares,0.0
Area Farmed in June,2013,"Nurseries, horticulture etc.",Border,000 Hectares,0.0
Area Farmed in June,2013,"Nurseries, horticulture etc.",West,000 Hectares,0.0
Area Farmed in June,2013,"Nurseries, horticulture etc.",Southern,000 Hectares,0.4
Area Farmed in June,2013,"Nurseries, horticulture etc.",Mid-West,000 Hectares,0.1
Area Farmed in June,2013,"Nurseries, horticulture etc.",South-East,000 Hectares,0.2
Area Farmed in June,2013,"Nurseries, horticulture etc.",South-West,000 Hectares,0.1
Area Farmed in June,2013,"Nurseries, horticulture etc.",Eastern and Midland,000 Hectares,0.1
Area Farmed in June,2013,"Nurseries, horticulture etc.",Dublin and Mid-East,000 Hectares,0.0
Area Farmed in June,2013,"Nurseries, horticulture etc.",Midland,000 Hectares,0.0
Area Farmed in June,2013,Other crops,State,000 Hectares,4.7
Area Farmed in June,2013,Other crops,Northern and Western,000 Hectares,0.4
Area Farmed in June,2013,Other crops,Border,000 Hectares,0.3
Area Farmed in June,2013,Other crops,West,000 Hectares,0.1
Area Farmed in June,2013,Other crops,Southern,000 Hectares,2.3
Area Farmed in June,2013,Other crops,Mid-West,000 Hectares,0.7
Area Farmed in June,2013,Other crops,South-East,000 Hectares,1.1
Area Farmed in June,2013,Other crops,South-West,000 Hectares,0.5
Area Farmed in June,2013,Other crops,Eastern and Midland,000 Hectares,2.1
