"Statistic","Year","Regional Veterinary Offices","UNIT","VALUE"
"Herds in County","2010","State","Number","116815"
"Herds in County","2010","Carlow","Number","1353"
"Herds in County","2010","Cavan","Number","4915"
"Herds in County","2010","Clare","Number","6282"
"Herds in County","2010","Cork North","Number","5986"
"Herds in County","2010","Cork South","Number","6310"
"Herds in County","2010","Donegal","Number","5579"
"Herds in County","2010","Dublin","Number","398"
"Herds in County","2010","Galway","Number","11796"
"Herds in County","2010","Kerry","Number","6895"
"Herds in County","2010","Kildare","Number","1861"
"Herds in County","2010","Kilkenny","Number","3143"
"Herds in County","2010","Laois","Number","2878"
"Herds in County","2010","Leitrim","Number","3106"
"Herds in County","2010","Limerick","Number","5627"
"Herds in County","2010","Longford","Number","2445"
"Herds in County","2010","Louth","Number","1196"
"Herds in County","2010","Mayo","Number","9772"
"Herds in County","2010","Meath","Number","3674"
"Herds in County","2010","Monaghan","Number","4292"
"Herds in County","2010","Offaly","Number","3170"
"Herds in County","2010","Roscommon","Number","5529"
"Herds in County","2010","Sligo","Number","3686"
"Herds in County","2010","Tipperary North","Number","3446"
"Herds in County","2010","Tipperary South","Number","3415"
"Herds in County","2010","Waterford","Number","2243"
"Herds in County","2010","Westmeath","Number","3076"
"Herds in County","2010","Wexford","Number","3105"
"Herds in County","2010","Wicklow E","Number","1079"
"Herds in County","2010","Wicklow W","Number","558"
"Herds in County","2011","State","Number","116061"
"Herds in County","2011","Carlow","Number","1360"
"Herds in County","2011","Cavan","Number","4857"
"Herds in County","2011","Clare","Number","6164"
"Herds in County","2011","Cork North","Number","5790"
"Herds in County","2011","Cork South","Number","6217"
"Herds in County","2011","Donegal","Number","5560"
"Herds in County","2011","Dublin","Number","391"
"Herds in County","2011","Galway","Number","11599"
"Herds in County","2011","Kerry","Number","6952"
"Herds in County","2011","Kildare","Number","1921"
"Herds in County","2011","Kilkenny","Number","3137"
"Herds in County","2011","Laois","Number","2915"
"Herds in County","2011","Leitrim","Number","3093"
"Herds in County","2011","Limerick","Number","5487"
"Herds in County","2011","Longford","Number","2431"
"Herds in County","2011","Louth","Number","1190"
"Herds in County","2011","Mayo","Number","9709"
"Herds in County","2011","Meath","Number","3700"
"Herds in County","2011","Monaghan","Number","4259"
"Herds in County","2011","Offaly","Number","3157"
"Herds in County","2011","Roscommon","Number","5499"
"Herds in County","2011","Sligo","Number","3646"
"Herds in County","2011","Tipperary North","Number","3488"
"Herds in County","2011","Tipperary South","Number","3460"
"Herds in County","2011","Waterford","Number","2234"
"Herds in County","2011","Westmeath","Number","3141"
"Herds in County","2011","Wexford","Number","3068"
"Herds in County","2011","Wicklow E","Number","1065"
"Herds in County","2011","Wicklow W","Number","571"
"Herds in County","2012","State","Number","115787"
"Herds in County","2012","Carlow","Number","1333"
"Herds in County","2012","Cavan","Number","4878"
"Herds in County","2012","Clare","Number","6249"
"Herds in County","2012","Cork North","Number","5812"
"Herds in County","2012","Cork South","Number","6228"
"Herds in County","2012","Donegal","Number","5549"
"Herds in County","2012","Dublin","Number","384"
"Herds in County","2012","Galway","Number","11611"
"Herds in County","2012","Kerry","Number","6846"
"Herds in County","2012","Kildare","Number","1881"
"Herds in County","2012","Kilkenny","Number","3150"
"Herds in County","2012","Laois","Number","2879"
"Herds in County","2012","Leitrim","Number","3064"
"Herds in County","2012","Limerick","Number","5514"
"Herds in County","2012","Longford","Number","2442"
"Herds in County","2012","Louth","Number","1186"
"Herds in County","2012","Mayo","Number","9618"
