Statistic,Year,Regional Veterinary Offices,UNIT,VALUE
Herds in County,2010,State,Number,116815.0
Herds in County,2010,Carlow,Number,1353.0
Herds in County,2010,Cavan,Number,4915.0
Herds in County,2010,Clare,Number,6282.0
Herds in County,2010,Cork North,Number,5986.0
Herds in County,2010,Cork South,Number,6310.0
Herds in County,2010,Donegal,Number,5579.0
Herds in County,2010,Dublin,Number,398.0
Herds in County,2010,Galway,Number,11796.0
Herds in County,2010,Kerry,Number,6895.0
Herds in County,2010,Kildare,Number,1861.0
Herds in County,2010,Kilkenny,Number,3143.0
Herds in County,2010,Laois,Number,2878.0
Herds in County,2010,Leitrim,Number,3106.0
Herds in County,2010,Limerick,Number,5627.0
Herds in County,2010,Longford,Number,2445.0
Herds in County,2010,Louth,Number,1196.0
Herds in County,2010,Mayo,Number,9772.0
Herds in County,2010,Meath,Number,3674.0
Herds in County,2010,Monaghan,Number,4292.0
Herds in County,2010,Offaly,Number,3170.0
Herds in County,2010,Roscommon,Number,5529.0
Herds in County,2010,Sligo,Number,3686.0
Herds in County,2010,Tipperary North,Number,3446.0
Herds in County,2010,Tipperary South,Number,3415.0
Herds in County,2010,Waterford,Number,2243.0
Herds in County,2010,Westmeath,Number,3076.0
Herds in County,2010,Wexford,Number,3105.0
Herds in County,2010,Wicklow E,Number,1079.0
Herds in County,2010,Wicklow W,Number,558.0
Herds in County,2011,State,Number,116061.0
Herds in County,2011,Carlow,Number,1360.0
Herds in County,2011,Cavan,Number,4857.0
Herds in County,2011,Clare,Number,6164.0
Herds in County,2011,Cork North,Number,5790.0
Herds in County,2011,Cork South,Number,6217.0
Herds in County,2011,Donegal,Number,5560.0
Herds in County,2011,Dublin,Number,391.0
Herds in County,2011,Galway,Number,11599.0
Herds in County,2011,Kerry,Number,6952.0
Herds in County,2011,Kildare,Number,1921.0
Herds in County,2011,Kilkenny,Number,3137.0
Herds in County,2011,Laois,Number,2915.0
Herds in County,2011,Leitrim,Number,3093.0
Herds in County,2011,Limerick,Number,5487.0
Herds in County,2011,Longford,Number,2431.0
Herds in County,2011,Louth,Number,1190.0
Herds in County,2011,Mayo,Number,9709.0
Herds in County,2011,Meath,Number,3700.0
Herds in County,2011,Monaghan,Number,4259.0
Herds in County,2011,Offaly,Number,3157.0
Herds in County,2011,Roscommon,Number,5499.0
Herds in County,2011,Sligo,Number,3646.0
Herds in County,2011,Tipperary North,Number,3488.0
Herds in County,2011,Tipperary South,Number,3460.0
Herds in County,2011,Waterford,Number,2234.0
Herds in County,2011,Westmeath,Number,3141.0
Herds in County,2011,Wexford,Number,3068.0
Herds in County,2011,Wicklow E,Number,1065.0
Herds in County,2011,Wicklow W,Number,571.0
Herds in County,2012,State,Number,115787.0
Herds in County,2012,Carlow,Number,1333.0
Herds in County,2012,Cavan,Number,4878.0
Herds in County,2012,Clare,Number,6249.0
Herds in County,2012,Cork North,Number,5812.0
Herds in County,2012,Cork South,Number,6228.0
Herds in County,2012,Donegal,Number,5549.0
Herds in County,2012,Dublin,Number,384.0
Herds in County,2012,Galway,Number,11611.0
Herds in County,2012,Kerry,Number,6846.0
Herds in County,2012,Kildare,Number,1881.0
Herds in County,2012,Kilkenny,Number,3150.0
Herds in County,2012,Laois,Number,2879.0
Herds in County,2012,Leitrim,Number,3064.0
Herds in County,2012,Limerick,Number,5514.0
Herds in County,2012,Longford,Number,2442.0
Herds in County,2012,Louth,Number,1186.0
Herds in County,2012,Mayo,Number,9618.0
Herds in County,2012,Meath,Number,3695.0
Herds in County,2012,Monaghan,Number,4256.0
Herds in County,2012,Offaly,Number,3154.0
Herds in County,2012,Roscommon,Number,5477.0
Herds in County,2012,Sligo,Number,3625.0
Herds in County,2012,Tipperary North,Number,3445.0
Herds in County,2012,Tipperary South,Number,3432.0
Herds in County,2012,Waterford,Number,2242.0
Herds in County,2012,Westmeath,Number,3096.0
Herds in County,2012,Wexford,Number,3091.0
Herds in County,2012,Wicklow E,Number,1087.0
Herds in County,2012,Wicklow W,Number,563.0
Herds in County,2013,State,Number,115765.0
Herds in County,2013,Carlow,Number,1340.0
Herds in County,2013,Cavan,Number,4860.0
Herds in County,2013,Clare,Number,6265.0
Herds in County,2013,Cork North,Number,5814.0
Herds in County,2013,Cork South,Number,6189.0
Herds in County,2013,Donegal,Number,5519.0
Herds in County,2013,Dublin,Number,392.0
Herds in County,2013,Galway,Number,11600.0
Herds in County,2013,Kerry,Number,6765.0
Herds in County,2013,Kildare,Number,1922.0
Herds in County,2013,Kilkenny,Number,3183.0
Herds in County,2013,Laois,Number,2884.0
Herds in County,2013,Leitrim,Number,3046.0
