"Statistic","Quarter","Regional Veterinary Offices","UNIT","VALUE"
"Herds in County","2010Q4","State","Number","116815"
"Herds in County","2010Q4","Carlow","Number","1353"
"Herds in County","2010Q4","Cavan","Number","4915"
"Herds in County","2010Q4","Clare","Number","6282"
"Herds in County","2010Q4","Cork North","Number","5986"
"Herds in County","2010Q4","Cork South","Number","6310"
"Herds in County","2010Q4","Donegal","Number","5579"
"Herds in County","2010Q4","Dublin","Number","398"
"Herds in County","2010Q4","Galway","Number","11796"
"Herds in County","2010Q4","Kerry","Number","6895"
"Herds in County","2010Q4","Kildare","Number","1861"
"Herds in County","2010Q4","Kilkenny","Number","3143"
"Herds in County","2010Q4","Laois","Number","2878"
"Herds in County","2010Q4","Leitrim","Number","3106"
"Herds in County","2010Q4","Limerick","Number","5627"
"Herds in County","2010Q4","Longford","Number","2445"
"Herds in County","2010Q4","Louth","Number","1196"
"Herds in County","2010Q4","Mayo","Number","9772"
"Herds in County","2010Q4","Meath","Number","3674"
"Herds in County","2010Q4","Monaghan","Number","4292"
"Herds in County","2010Q4","Offaly","Number","3170"
"Herds in County","2010Q4","Roscommon","Number","5529"
"Herds in County","2010Q4","Sligo","Number","3686"
"Herds in County","2010Q4","Tipperary North","Number","3446"
"Herds in County","2010Q4","Tipperary South","Number","3415"
"Herds in County","2010Q4","Waterford","Number","2243"
"Herds in County","2010Q4","Westmeath","Number","3076"
"Herds in County","2010Q4","Wexford","Number","3105"
"Herds in County","2010Q4","Wicklow E","Number","1079"
"Herds in County","2010Q4","Wicklow W","Number","558"
"Herds in County","2011Q1","State","Number","116825"
"Herds in County","2011Q1","Carlow","Number","1361"
"Herds in County","2011Q1","Cavan","Number","4937"
"Herds in County","2011Q1","Clare","Number","6206"
"Herds in County","2011Q1","Cork North","Number","5976"
"Herds in County","2011Q1","Cork South","Number","6239"
"Herds in County","2011Q1","Donegal","Number","5610"
"Herds in County","2011Q1","Dublin","Number","399"
"Herds in County","2011Q1","Galway","Number","11821"
"Herds in County","2011Q1","Kerry","Number","6915"
"Herds in County","2011Q1","Kildare","Number","1881"
"Herds in County","2011Q1","Kilkenny","Number","3147"
"Herds in County","2011Q1","Laois","Number","2888"
"Herds in County","2011Q1","Leitrim","Number","3113"
"Herds in County","2011Q1","Limerick","Number","5532"
"Herds in County","2011Q1","Longford","Number","2452"
"Herds in County","2011Q1","Louth","Number","1198"
"Herds in County","2011Q1","Mayo","Number","9789"
"Herds in County","2011Q1","Meath","Number","3688"
"Herds in County","2011Q1","Monaghan","Number","4307"
"Herds in County","2011Q1","Offaly","Number","3123"
"Herds in County","2011Q1","Roscommon","Number","5538"
"Herds in County","2011Q1","Sligo","Number","3695"
"Herds in County","2011Q1","Tipperary North","Number","3462"
