"Statistic","Month","Type of Fertiliser","UNIT","VALUE"
"Fertiliser Price","1980M01","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","121"
"Fertiliser Price","1980M01","Urea (46% N)","Euro per Tonne","144"
"Fertiliser Price","1980M01","Granular Superphosphate (16% P)","Euro per Tonne","160"
"Fertiliser Price","1980M01","Muriate of Potash (50% K)","Euro per Tonne","109"
"Fertiliser Price","1980M01","Compound 0-10-20","Euro per Tonne","130"
"Fertiliser Price","1980M01","Compound 0-7-30","Euro per Tonne","129"
"Fertiliser Price","1980M01","Compound 7-6-17","Euro per Tonne","151"
"Fertiliser Price","1980M01","Compound 10-10-20","Euro per Tonne","165"
"Fertiliser Price","1980M01","Compound 14-7-14","Euro per Tonne","155"
"Fertiliser Price","1980M01","Compound 18-6-12","Euro per Tonne","157"
"Fertiliser Price","1980M01","Compound 24-2.5-10","Euro per Tonne","158"
"Fertiliser Price","1980M01","Compound 27-2.5-5","Euro per Tonne","156"
"Fertiliser Price","1980M01","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980M01","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980M01","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980M01","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980M01","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980M01","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980M01","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980M01","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980M01","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980M01","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980M01","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980M01","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980M02","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","124"
"Fertiliser Price","1980M02","Urea (46% N)","Euro per Tonne","147"
"Fertiliser Price","1980M02","Granular Superphosphate (16% P)","Euro per Tonne","162"
"Fertiliser Price","1980M02","Muriate of Potash (50% K)","Euro per Tonne","109"
"Fertiliser Price","1980M02","Compound 0-10-20","Euro per Tonne","131"
"Fertiliser Price","1980M02","Compound 0-7-30","Euro per Tonne","130"
"Fertiliser Price","1980M02","Compound 7-6-17","Euro per Tonne","154"
"Fertiliser Price","1980M02","Compound 10-10-20","Euro per Tonne","167"
"Fertiliser Price","1980M02","Compound 14-7-14","Euro per Tonne","159"
"Fertiliser Price","1980M02","Compound 18-6-12","Euro per Tonne","159"
"Fertiliser Price","1980M02","Compound 24-2.5-10","Euro per Tonne","162"
"Fertiliser Price","1980M02","Compound 27-2.5-5","Euro per Tonne","160"
"Fertiliser Price","1980M02","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980M02","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980M02","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980M02","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980M02","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980M02","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980M02","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980M02","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980M02","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980M02","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980M02","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980M02","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980M03","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","127"
"Fertiliser Price","1980M03","Urea (46% N)","Euro per Tonne","159"
"Fertiliser Price","1980M03","Granular Superphosphate (16% P)","Euro per Tonne","168"
"Fertiliser Price","1980M03","Muriate of Potash (50% K)","Euro per Tonne","114"
"Fertiliser Price","1980M03","Compound 0-10-20","Euro per Tonne","132"
"Fertiliser Price","1980M03","Compound 0-7-30","Euro per Tonne","130"
"Fertiliser Price","1980M03","Compound 7-6-17","Euro per Tonne","154"
"Fertiliser Price","1980M03","Compound 10-10-20","Euro per Tonne","169"
"Fertiliser Price","1980M03","Compound 14-7-14","Euro per Tonne","160"
"Fertiliser Price","1980M03","Compound 18-6-12","Euro per Tonne","161"
"Fertiliser Price","1980M03","Compound 24-2.5-10","Euro per Tonne","166"
"Fertiliser Price","1980M03","Compound 27-2.5-5","Euro per Tonne","162"
"Fertiliser Price","1980M03","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980M03","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980M03","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980M03","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980M03","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980M03","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980M03","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980M03","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980M03","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980M03","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980M03","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980M03","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980M04","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","128"
"Fertiliser Price","1980M04","Urea (46% N)","Euro per Tonne","163"
"Fertiliser Price","1980M04","Granular Superphosphate (16% P)","Euro per Tonne","168"
"Fertiliser Price","1980M04","Muriate of Potash (50% K)","Euro per Tonne","114"
"Fertiliser Price","1980M04","Compound 0-10-20","Euro per Tonne","132"
"Fertiliser Price","1980M04","Compound 0-7-30","Euro per Tonne","130"
"Fertiliser Price","1980M04","Compound 7-6-17","Euro per Tonne","159"
"Fertiliser Price","1980M04","Compound 10-10-20","Euro per Tonne","170"
"Fertiliser Price","1980M04","Compound 14-7-14","Euro per Tonne","162"
"Fertiliser Price","1980M04","Compound 18-6-12","Euro per Tonne","163"
"Fertiliser Price","1980M04","Compound 24-2.5-10","Euro per Tonne","167"
"Fertiliser Price","1980M04","Compound 27-2.5-5","Euro per Tonne","162"
"Fertiliser Price","1980M04","Sulphate of Potash (42% K)","Euro per Tonne",""
