Statistic,Month,Meteorological Weather Station,UNIT,VALUE
Total Rainfall,1958M01,Belmullet,Millimetres,160.2
Total Rainfall,1958M01,Birr,Millimetres,95.6
Total Rainfall,1958M01,Valentia Observatory,Millimetres,214.8
Total Rainfall,1958M01,Casement,Millimetres,
Total Rainfall,1958M01,Claremorris,Millimetres,146.9
Total Rainfall,1958M01,Clones,Millimetres,104.8
Total Rainfall,1958M01,Cork airport,Millimetres,
Total Rainfall,1958M01,Dublin airport,Millimetres,40.0
Total Rainfall,1958M01,Galway,Millimetres,
Total Rainfall,1958M01,Kilkenny,Millimetres,116.4
Total Rainfall,1958M01,Malin head,Millimetres,127.2
Total Rainfall,1958M01,Mullingar,Millimetres,109.4
Total Rainfall,1958M01,Roches Point,Millimetres,120.7
Total Rainfall,1958M01,Rosslare,Millimetres,102.5
Total Rainfall,1958M01,Shannon airport,Millimetres,115.6
Total Rainfall,1958M02,Belmullet,Millimetres,75.2
Total Rainfall,1958M02,Birr,Millimetres,85.6
Total Rainfall,1958M02,Valentia Observatory,Millimetres,130.8
Total Rainfall,1958M02,Casement,Millimetres,
Total Rainfall,1958M02,Claremorris,Millimetres,98.3
Total Rainfall,1958M02,Clones,Millimetres,97.1
Total Rainfall,1958M02,Cork airport,Millimetres,
Total Rainfall,1958M02,Dublin airport,Millimetres,101.6
Total Rainfall,1958M02,Galway,Millimetres,
Total Rainfall,1958M02,Kilkenny,Millimetres,87.6
Total Rainfall,1958M02,Malin head,Millimetres,143.2
Total Rainfall,1958M02,Mullingar,Millimetres,82.0
Total Rainfall,1958M02,Roches Point,Millimetres,107.1
Total Rainfall,1958M02,Rosslare,Millimetres,119.7
Total Rainfall,1958M02,Shannon airport,Millimetres,92.8
Total Rainfall,1958M03,Belmullet,Millimetres,86.4
Total Rainfall,1958M03,Birr,Millimetres,40.9
Total Rainfall,1958M03,Valentia Observatory,Millimetres,133.5
Total Rainfall,1958M03,Casement,Millimetres,
Total Rainfall,1958M03,Claremorris,Millimetres,82.3
Total Rainfall,1958M03,Clones,Millimetres,33.0
Total Rainfall,1958M03,Cork airport,Millimetres,
Total Rainfall,1958M03,Dublin airport,Millimetres,23.4
Total Rainfall,1958M03,Galway,Millimetres,
Total Rainfall,1958M03,Kilkenny,Millimetres,33.9
Total Rainfall,1958M03,Malin head,Millimetres,45.6
Total Rainfall,1958M03,Mullingar,Millimetres,34.1
Total Rainfall,1958M03,Roches Point,Millimetres,133.8
Total Rainfall,1958M03,Rosslare,Millimetres,68.4
Total Rainfall,1958M03,Shannon airport,Millimetres,52.0
Total Rainfall,1958M04,Belmullet,Millimetres,30.6
Total Rainfall,1958M04,Birr,Millimetres,37.5
Total Rainfall,1958M04,Valentia Observatory,Millimetres,40.6
Total Rainfall,1958M04,Casement,Millimetres,
Total Rainfall,1958M04,Claremorris,Millimetres,37.4
Total Rainfall,1958M04,Clones,Millimetres,30.4
Total Rainfall,1958M04,Cork airport,Millimetres,
Total Rainfall,1958M04,Dublin airport,Millimetres,29.9
Total Rainfall,1958M04,Galway,Millimetres,
Total Rainfall,1958M04,Kilkenny,Millimetres,28.0
Total Rainfall,1958M04,Malin head,Millimetres,52.3
Total Rainfall,1958M04,Mullingar,Millimetres,25.7
Total Rainfall,1958M04,Roches Point,Millimetres,13.3
Total Rainfall,1958M04,Rosslare,Millimetres,18.1
Total Rainfall,1958M04,Shannon airport,Millimetres,30.2
Total Rainfall,1958M05,Belmullet,Millimetres,118.0
Total Rainfall,1958M05,Birr,Millimetres,101.2
Total Rainfall,1958M05,Valentia Observatory,Millimetres,123.1
Total Rainfall,1958M05,Casement,Millimetres,
Total Rainfall,1958M05,Claremorris,Millimetres,126.7
Total Rainfall,1958M05,Clones,Millimetres,73.0
Total Rainfall,1958M05,Cork airport,Millimetres,
Total Rainfall,1958M05,Dublin airport,Millimetres,103.9
Total Rainfall,1958M05,Galway,Millimetres,
Total Rainfall,1958M05,Kilkenny,Millimetres,91.9
Total Rainfall,1958M05,Malin head,Millimetres,69.0
Total Rainfall,1958M05,Mullingar,Millimetres,86.6
Total Rainfall,1958M05,Roches Point,Millimetres,130.6
Total Rainfall,1958M05,Rosslare,Millimetres,113.0
Total Rainfall,1958M05,Shannon airport,Millimetres,97.6
Total Rainfall,1958M06,Belmullet,Millimetres,144.5
Total Rainfall,1958M06,Birr,Millimetres,85.0
Total Rainfall,1958M06,Valentia Observatory,Millimetres,131.2
Total Rainfall,1958M06,Casement,Millimetres,
Total Rainfall,1958M06,Claremorris,Millimetres,126.6
Total Rainfall,1958M06,Clones,Millimetres,150.3
Total Rainfall,1958M06,Cork airport,Millimetres,
Total Rainfall,1958M06,Dublin airport,Millimetres,168.5
Total Rainfall,1958M06,Galway,Millimetres,
Total Rainfall,1958M06,Kilkenny,Millimetres,79.2
Total Rainfall,1958M06,Malin head,Millimetres,127.9
Total Rainfall,1958M06,Mullingar,Millimetres,131.9
Total Rainfall,1958M06,Roches Point,Millimetres,98.1
Total Rainfall,1958M06,Rosslare,Millimetres,107.4
Total Rainfall,1958M06,Shannon airport,Millimetres,63.2
Total Rainfall,1958M07,Belmullet,Millimetres,41.7
Total Rainfall,1958M07,Birr,Millimetres,99.6
Total Rainfall,1958M07,Valentia Observatory,Millimetres,108.2
Total Rainfall,1958M07,Casement,Millimetres,
Total Rainfall,1958M07,Claremorris,Millimetres,92.5
Total Rainfall,1958M07,Clones,Millimetres,115.5
Total Rainfall,1958M07,Cork airport,Millimetres,
Total Rainfall,1958M07,Dublin airport,Millimetres,109.5
Total Rainfall,1958M07,Galway,Millimetres,
Total Rainfall,1958M07,Kilkenny,Millimetres,149.0
Total Rainfall,1958M07,Malin head,Millimetres,88.0
Total Rainfall,1958M07,Mullingar,Millimetres,132.9
Total Rainfall,1958M07,Roches Point,Millimetres,135.6
Total Rainfall,1958M07,Rosslare,Millimetres,80.2
Total Rainfall,1958M07,Shannon airport,Millimetres,89.3
Total Rainfall,1958M08,Belmullet,Millimetres,149.9
Total Rainfall,1958M08,Birr,Millimetres,153.9
Total Rainfall,1958M08,Valentia Observatory,Millimetres,143.1
Total Rainfall,1958M08,Casement,Millimetres,
Total Rainfall,1958M08,Claremorris,Millimetres,155.3
Total Rainfall,1958M08,Clones,Millimetres,147.9
