Statistic,Month,Meteorological Weather Station,UNIT,VALUE
Total Sunshine Hours,1958M01,Belmullet,Number,43.7
Total Sunshine Hours,1958M01,Birr,Number,64.6
Total Sunshine Hours,1958M01,Valentia Observatory,Number,46.8
Total Sunshine Hours,1958M01,Casement,Number,
Total Sunshine Hours,1958M01,Claremorris,Number,51.6
Total Sunshine Hours,1958M01,Clones,Number,53.8
Total Sunshine Hours,1958M01,Cork airport,Number,
Total Sunshine Hours,1958M01,Dublin airport,Number,79.5
Total Sunshine Hours,1958M01,Galway,Number,
Total Sunshine Hours,1958M01,Kilkenny,Number,73.3
Total Sunshine Hours,1958M01,Malin head,Number,42.6
Total Sunshine Hours,1958M01,Mullingar,Number,68.8
Total Sunshine Hours,1958M01,Roches Point,Number,78.8
Total Sunshine Hours,1958M01,Rosslare,Number,86.9
Total Sunshine Hours,1958M01,Shannon airport,Number,64.1
Total Sunshine Hours,1958M02,Belmullet,Number,45.7
Total Sunshine Hours,1958M02,Birr,Number,62.6
Total Sunshine Hours,1958M02,Valentia Observatory,Number,51.0
Total Sunshine Hours,1958M02,Casement,Number,
Total Sunshine Hours,1958M02,Claremorris,Number,53.6
Total Sunshine Hours,1958M02,Clones,Number,57.1
Total Sunshine Hours,1958M02,Cork airport,Number,
Total Sunshine Hours,1958M02,Dublin airport,Number,62.7
Total Sunshine Hours,1958M02,Galway,Number,
Total Sunshine Hours,1958M02,Kilkenny,Number,55.3
Total Sunshine Hours,1958M02,Malin head,Number,49.7
Total Sunshine Hours,1958M02,Mullingar,Number,61.9
Total Sunshine Hours,1958M02,Roches Point,Number,57.7
Total Sunshine Hours,1958M02,Rosslare,Number,69.3
Total Sunshine Hours,1958M02,Shannon airport,Number,58.8
Total Sunshine Hours,1958M03,Belmullet,Number,64.5
Total Sunshine Hours,1958M03,Birr,Number,82.9
Total Sunshine Hours,1958M03,Valentia Observatory,Number,69.5
Total Sunshine Hours,1958M03,Casement,Number,
Total Sunshine Hours,1958M03,Claremorris,Number,71.1
Total Sunshine Hours,1958M03,Clones,Number,84.2
Total Sunshine Hours,1958M03,Cork airport,Number,
Total Sunshine Hours,1958M03,Dublin airport,Number,105.1
Total Sunshine Hours,1958M03,Galway,Number,
Total Sunshine Hours,1958M03,Kilkenny,Number,90.4
Total Sunshine Hours,1958M03,Malin head,Number,97.6
Total Sunshine Hours,1958M03,Mullingar,Number,96.7
Total Sunshine Hours,1958M03,Roches Point,Number,89.6
Total Sunshine Hours,1958M03,Rosslare,Number,115.4
Total Sunshine Hours,1958M03,Shannon airport,Number,82.1
Total Sunshine Hours,1958M04,Belmullet,Number,135.2
Total Sunshine Hours,1958M04,Birr,Number,116.5
Total Sunshine Hours,1958M04,Valentia Observatory,Number,134.8
Total Sunshine Hours,1958M04,Casement,Number,
Total Sunshine Hours,1958M04,Claremorris,Number,130.2
Total Sunshine Hours,1958M04,Clones,Number,119.5
