Statistic,Year,State,UNIT,VALUE
Exports of Cattle,1930,State,Thousand,857.88
Exports of Cattle,1931,State,Thousand,765.95
Exports of Cattle,1932,State,Thousand,645.18
Exports of Cattle,1933,State,Thousand,589.86
Exports of Cattle,1934,State,Thousand,511.1
Exports of Cattle,1935,State,Thousand,668.18
Exports of Cattle,1936,State,Thousand,728.08
Exports of Cattle,1937,State,Thousand,711.14
Exports of Cattle,1938,State,Thousand,702.29
Exports of Cattle,1939,State,Thousand,783.87
Exports of Cattle,1940,State,Thousand,635.5
Exports of Cattle,1941,State,Thousand,307.07
Exports of Cattle,1942,State,Thousand,616.48
Exports of Cattle,1943,State,Thousand,453.14
Exports of Cattle,1944,State,Thousand,445.14
Exports of Cattle,1945,State,Thousand,495.55
Exports of Cattle,1946,State,Thousand,461.88
Exports of Cattle,1947,State,Thousand,482.77
Exports of Cattle,1948,State,Thousand,372.29
Exports of Cattle,1949,State,Thousand,468.05
Exports of Cattle,1950,State,Thousand,494.51
Exports of Cattle,1951,State,Thousand,489.53
Exports of Cattle,1952,State,Thousand,481.66
Exports of Cattle,1953,State,Thousand,455.93
Exports of Cattle,1954,State,Thousand,617.16
Exports of Cattle,1955,State,Thousand,618.73
Exports of Cattle,1956,State,Thousand,674.71
Exports of Cattle,1957,State,Thousand,830.54
Exports of Cattle,1958,State,Thousand,653.2
Exports of Cattle,1959,State,Thousand,487.68
Exports of Cattle,1960,State,Thousand,541.99
Exports of Cattle,1961,State,Thousand,722.4
Exports of Cattle,1962,State,Thousand,575.25
Exports of Cattle,1963,State,Thousand,662.76
Exports of Cattle,1964,State,Thousand,793.77
Exports of Cattle,1965,State,Thousand,596.59
Exports of Cattle,1966,State,Thousand,624.95
Exports of Cattle,1967,State,Thousand,670.98
Exports of Cattle,1968,State,Thousand,625.42
Exports of Cattle,1969,State,Thousand,552.69
Exports of Cattle,1970,State,Thousand,529.18
Exports of Cattle,1971,State,Thousand,615.55
Exports of Cattle,1972,State,Thousand,598.43
Exports of Cattle,1973,State,Thousand,430.12
Exports of Cattle,1974,State,Thousand,447.44
Exports of Cattle,1975,State,Thousand,695.31
Exports of Cattle,1976,State,Thousand,370.08
Exports of Cattle,1977,State,Thousand,453.16
Exports of Cattle,1978,State,Thousand,549.75
Exports of Cattle,1979,State,Thousand,327.25
Exports of Cattle,1980,State,Thousand,474.27
Exports of Cattle,1981,State,Thousand,431.03
Exports of Cattle,1982,State,Thousand,359.27
Exports of Cattle,1983,State,Thousand,431.66
Exports of Cattle,1984,State,Thousand,387.7
Exports of Cattle,1985,State,Thousand,311.95
Exports of Cattle,1986,State,Thousand,322.24
Exports of Cattle,1987,State,Thousand,236.45
Exports of Cattle,1988,State,Thousand,235.59
Exports of Cattle,1989,State,Thousand,170.29
Exports of Cattle,1990,State,Thousand,184.86
Exports of Cattle,1991,State,Thousand,138.09
Exports of Cattle,1992,State,Thousand,186.44
Exports of Cattle,1993,State,Thousand,366.04
Exports of Cattle,1994,State,Thousand,396.13
Exports of Cattle,1995,State,Thousand,365.63
Exports of Cattle,1996,State,Thousand,188.56
Exports of Cattle,1997,State,Thousand,40.01
Exports of Cattle,1998,State,Thousand,138.17
Exports of Cattle,1999,State,Thousand,348.08
Exports of Cattle,2000,State,Thousand,331.1
Exports of Cattle,2001,State,Thousand,70.0
Exports of Cattle,2002,State,Thousand,78.4
Exports of Cattle,2003,State,Thousand,114.7
Exports of Cattle,2004,State,Thousand,70.6
Exports of Cattle,2005,State,Thousand,105.6
Exports of Cattle,2006,State,Thousand,135.8
Exports of Cattle,2007,State,Thousand,177.5
Exports of Cattle,2008,State,Thousand,133.2
Exports of Cattle,2009,State,Thousand,191.7
Exports of Cattle,2010,State,Thousand,273.4
Exports of Cattle,2011,State,Thousand,192.1
Exports of Cattle,2012,State,Thousand,131.6
Exports of Cattle,2013,State,Thousand,180.9
Exports of Cattle,2014,State,Thousand,207.0
Exports of Cattle,2015,State,Thousand,149.0
Exports of Cattle,2016,State,Thousand,124.38
Exports of Cattle,2017,State,Thousand,150.29
Exports of Cattle,2018,State,Thousand,191.98
Exports of Cattle,2019,State,Thousand,247.86
Exports of Cattle,2020,State,Thousand,308.55
Exports of Beef,1930,State,000 Tonnes,1.3
Exports of Beef,1931,State,000 Tonnes,0.4
Exports of Beef,1932,State,000 Tonnes,0.2
Exports of Beef,1933,State,000 Tonnes,2.0
Exports of Beef,1934,State,000 Tonnes,0.0
Exports of Beef,1935,State,000 Tonnes,0.0
Exports of Beef,1936,State,000 Tonnes,0.0
Exports of Beef,1937,State,000 Tonnes,0.0
Exports of Beef,1938,State,000 Tonnes,0.0
Exports of Beef,1939,State,000 Tonnes,1.0
Exports of Beef,1940,State,000 Tonnes,0.3
Exports of Beef,1941,State,000 Tonnes,16.2
Exports of Beef,1942,State,000 Tonnes,5.7
Exports of Beef,1943,State,000 Tonnes,1.0
