URL,Heading,Date,HTML Content,Text
https://www.ifa.ie/campaigns/key-amendments-on-animal-transport-carried-but-more-work-to-be-done/,"Key Amendments on Animal Transport Carried, But More Work to be Done",20 January 2022,"<div class=""single-content"">
<p>IFA President Tim Cullinan said the voting through of key amendments on animal transport in the European Parliament today goes some way towards safeguarding competition in the cattle trade.</p>
<p>Speaking from Strasbourg, Tim Cullinan said the debate showed there is more to be done to convince legislators that we are meeting the highest standards.</p>
<p>The IFA President acknowledged the work done by Irish MEPs to get backing in the European Parliament for the amendments.</p>
<p>“From the position of Irish farming, it was vital that the key amendments were carried, but our campaign will continue.  IFA will be working with others through COPA and our MEPs to build support for animal transport, given its critical role for Ireland as an island nation,” he said.</p>
<p>“Our calves are highly sought after in the European market.  They are very robust and healthy, and thrive well. Our animal welfare and transport are of the highest standard, which is why there is such demand for our calves,” he said.</p>
<p>IFA Livestock Chairman Brendan Golden, who is also in Strasbourg, said the recommendations from the ANIT Committee in the European Parliament for live animal transport had the potential to severely impact the competitive trade in this country, including the movements of in-calf animals, which is a key trade for farmers and marts.</p>
<p>“Irish farmers support and implement the highest welfare standards in the world and this includes the strictly controlled transport of animals.  Seeking to change the rules because other countries fail to implement them was not acceptable,” he said.</p>
</div>","
IFA President Tim Cullinan said the voting through of key amendments on animal transport in the European Parliament today goes some way towards safeguarding competition in the cattle trade.
Speaking from Strasbourg, Tim Cullinan said the debate showed there is more to be done to convince legislators that we are meeting the highest standards.
The IFA President acknowledged the work done by Irish MEPs to get backing in the European Parliament for the amendments.
“From the position of Irish farming, it was vital that the key amendments were carried, but our campaign will continue.  IFA will be working with others through COPA and our MEPs to build support for animal transport, given its critical role for Ireland as an island nation,” he said.
“Our calves are highly sought after in the European market.  They are very robust and healthy, and thrive well. Our animal welfare and transport are of the highest standard, which is why there is such demand for our calves,” he said.
IFA Livestock Chairman Brendan Golden, who is also in Strasbourg, said the recommendations from the ANIT Committee in the European Parliament for live animal transport had the potential to severely impact the competitive trade in this country, including the movements of in-calf animals, which is a key trade for farmers and marts.
“Irish farmers support and implement the highest welfare standards in the world and this includes the strictly controlled transport of animals.  Seeking to change the rules because other countries fail to implement them was not acceptable,” he said.
"
https://www.ifa.ie/farm-sectors/ifa-to-hold-dairy-calf-webinar-as-calving-season-gets-underway/,IFA to Hold Dairy Calf Webinar as Calving Season Gets Underway,20 January 2022,"<div class=""single-content"">
<div class=""wp-block-columns has-background"" style=""background-color:#ededed"">
<div class=""wp-block-column"">
<p><strong>Please note the change in date for the IFA Dairy Calf Webinar to Wednesday, January 26th at 8pm</strong></p>
</div>
</div>
<p>As the calving season gets underway, IFA will host a Dairy Calf webinar next Wednesday, Jan 26th at 8pm.</p>
<p>IFA Dairy Chairman Stephen Arthur said top-quality management of calves, particularly in their first four to six weeks, is essential to support a dairy sector that is both profitable and sustainable.</p>
<p>“The webinar will inform farmers on how to use the latest technologies to improve the quality and value of calves born from the dairy herd and will also examine the viability of dairy calf to beef systems,” he said.</p>
<p>The speakers will include Rob Doyle from the Dept of Agriculture; Stephen Butler from Teagasc; Sean Coughlan from ICBF and Nicky Byrne from Teagasc.</p>
<p>Attendees will be updated on the latest developments arising from the EU Committee of Inquiry on the Protection of Animals during Transport (ANIT Committee) which, if implemented, would severely impact our calf export trade.</p>
<p>For those interested in joining the webinar please, click <a href=""https://www.ifa.ie/ifa-dairy-calf-webinar/"">here</a> to register.</p>
</div>","


Please note the change in date for the IFA Dairy Calf Webinar to Wednesday, January 26th at 8pm


As the calving season gets underway, IFA will host a Dairy Calf webinar next Wednesday, Jan 26th at 8pm.
IFA Dairy Chairman Stephen Arthur said top-quality management of calves, particularly in their first four to six weeks, is essential to support a dairy sector that is both profitable and sustainable.
“The webinar will inform farmers on how to use the latest technologies to improve the quality and value of calves born from the dairy herd and will also examine the viability of dairy calf to beef systems,” he said.
The speakers will include Rob Doyle from the Dept of Agriculture; Stephen Butler from Teagasc; Sean Coughlan from ICBF and Nicky Byrne from Teagasc.
Attendees will be updated on the latest developments arising from the EU Committee of Inquiry on the Protection of Animals during Transport (ANIT Committee) which, if implemented, would severely impact our calf export trade.
For those interested in joining the webinar please, click here to register.
"
https://www.ifa.ie/policy-areas/food-exports-show-the-importance-of-the-sector-to-the-irish-economy/,Food Exports Show the Importance of the Sector to the Irish Economy,12 January 2022,"<div class=""single-content"">
<p>IFA President Tim Cullinan said the figures released by Bord Bia this morning for Irish food exports in 2021 show the importance of the sector to the Irish economy.</p>
<p>“Despite all the challenges, our exports grew by 4% to a record €13.5bn. This demonstrates the standing and reputation of our food, based on the raw materials produced by Irish farmers,” he said.</p>
<p>“With a massive increase in input costs – feed, energy and fertiliser – it’s critical that the price received by farmers increases across all sectors to help offset the extraordinary hike in the costs of production. It’s vital that the additional value generated by our food exports is delivered, in full, back to the farmer producing the raw material,” he said.</p>
<p>“Agriculture is our most important indigenous sector. It must be fostered and supported. Our economy is very dependent of foreign direct investment, but we must balance this with an increased focus on our indigenous sectors,” he said.</p>
<p>“We all acknowledge the need to continue to build on our environmental credentials, but we cannot do this at the expense of the economic sustainability of our primary producers,” he said.</p>
<p>“The current policy direction from the Irish Government is not striking the right balance between environmental, economic and social sustainability as set out in <em>Food Vision 2030</em>,” he said.</p>
<p>“The world will need more food and we are fortunate to have the climate and the expertise, built up on Irish farms over generations, to produce top quality food. We should be proud of this and work to support it, not undermine it,” he said.</p>
</div>","
IFA President Tim Cullinan said the figures released by Bord Bia this morning for Irish food exports in 2021 show the importance of the sector to the Irish economy.
“Despite all the challenges, our exports grew by 4% to a record €13.5bn. This demonstrates the standing and reputation of our food, based on the raw materials produced by Irish farmers,” he said.
“With a massive increase in input costs – feed, energy and fertiliser – it’s critical that the price received by farmers increases across all sectors to help offset the extraordinary hike in the costs of production. It’s vital that the additional value generated by our food exports is delivered, in full, back to the farmer producing the raw material,” he said.
“Agriculture is our most important indigenous sector. It must be fostered and supported. Our economy is very dependent of foreign direct investment, but we must balance this with an increased focus on our indigenous sectors,” he said.
“We all acknowledge the need to continue to build on our environmental credentials, but we cannot do this at the expense of the economic sustainability of our primary producers,” he said.
“The current policy direction from the Irish Government is not striking the right balance between environmental, economic and social sustainability as set out in Food Vision 2030,” he said.
“The world will need more food and we are fortunate to have the climate and the expertise, built up on Irish farms over generations, to produce top quality food. We should be proud of this and work to support it, not undermine it,” he said.
"
https://www.ifa.ie/farm-sectors/milk-price-must-increase-for-december-supplies/,Milk Price Must Increase for December Supplies,7 January 2022,"<div class=""single-content"">
<p>The Ornua PPI for December has climbed to 135.5, an equivalent farm gate price of 41.6cpl (VAT incl). When adjusted to include the Ornua Value Payment, worth €3.72m, the equivalent farm gate price is 45.6cpl.</p>
<p>Due to rising input costs, adverse weather and more restrictive environmental policies, global milk supply from the main exporting countries has been constrained despite a substantial increase in dairy commodity prices.</p>
<p>IFA Dairy Chairman Stephen Arthur said this tightened supply is supporting the sustained rise in milk price we have seen for the past six months.</p>
<p>This week’s New Zealand GDT auctions also reported milk price increases in butter, SMP and Cheddar Cheese.</p>
<p>However, the benefits to farmers of the increase in milk price have been significantly offset by the rise in input costs.</p>
<p>Teagasc estimate that the average cost of production will increase by 13% in 2022, on top of a 9% increase in 2021. Combined, this will lead to a cost increase of circa 23% within two years and is expected to result in a decline in average incomes for dairy farmers this year.  </p>
<p>Stephen Arthur said processors must pay a milk price well in excess of 40 cent per litre this month. </p>
<p>“Given the buoyant year processors have had and the rising costs farmers will have to incur this year, every board member has to seriously consider a 13<sup>th</sup> payment for its suppliers,” he concluded.</p>
</div>","
The Ornua PPI for December has climbed to 135.5, an equivalent farm gate price of 41.6cpl (VAT incl). When adjusted to include the Ornua Value Payment, worth €3.72m, the equivalent farm gate price is 45.6cpl.
Due to rising input costs, adverse weather and more restrictive environmental policies, global milk supply from the main exporting countries has been constrained despite a substantial increase in dairy commodity prices.
IFA Dairy Chairman Stephen Arthur said this tightened supply is supporting the sustained rise in milk price we have seen for the past six months.
This week’s New Zealand GDT auctions also reported milk price increases in butter, SMP and Cheddar Cheese.
However, the benefits to farmers of the increase in milk price have been significantly offset by the rise in input costs.
Teagasc estimate that the average cost of production will increase by 13% in 2022, on top of a 9% increase in 2021. Combined, this will lead to a cost increase of circa 23% within two years and is expected to result in a decline in average incomes for dairy farmers this year.  
Stephen Arthur said processors must pay a milk price well in excess of 40 cent per litre this month. 
“Given the buoyant year processors have had and the rising costs farmers will have to incur this year, every board member has to seriously consider a 13th payment for its suppliers,” he concluded.
"
https://www.ifa.ie/farm-sectors/glanbia-vote-a-milestone-event-for-farmers/,Glanbia Vote a Milestone Event for Farmers,17 December 2021,"<div class=""single-content"">
<p>IFA Dairy Chairman Stephen Arthur said the outcome of today’s Glanbia SGM that will see farmers take full control of Glanbia Ireland is a milestone event.</p>
<p>“The largest milk processor in the country is now in the hands of its farmer shareholders. The emphatic result shows that farmers want to have control of their destiny and their livelihoods,” he said.</p>
<p>“We have always said a co-op structure serves farmers better than a PLC model.</p>
<p>The co-op structure ultimately gives more latitude to the board to support its farmer suppliers,” he said.</p>
<p>Stephen Arthur said the onus on the board and the management is to pay a strong price to farmers that secures their livelihoods.  They also have to run the business efficiently and leanly so it can maintain a market-leading return to its suppliers while remaining profitable.</p>
<p>IFA Grain Chairman Mark Browne said grain farmers will also expect the new model to pay a market-leading price for the crops supplied by farmers.</p>
<p>IFA had a very constructive and well attended online meeting on Monday night where the Glanbia Co-op Chairman John Murphy, CEO Jim Bergin and other key personnel. There were many questions and it proved a very effective forum for farmers to have their questions dealt with.</p>
</div>","
IFA Dairy Chairman Stephen Arthur said the outcome of today’s Glanbia SGM that will see farmers take full control of Glanbia Ireland is a milestone event.
“The largest milk processor in the country is now in the hands of its farmer shareholders. The emphatic result shows that farmers want to have control of their destiny and their livelihoods,” he said.
“We have always said a co-op structure serves farmers better than a PLC model.
The co-op structure ultimately gives more latitude to the board to support its farmer suppliers,” he said.
Stephen Arthur said the onus on the board and the management is to pay a strong price to farmers that secures their livelihoods.  They also have to run the business efficiently and leanly so it can maintain a market-leading return to its suppliers while remaining profitable.
IFA Grain Chairman Mark Browne said grain farmers will also expect the new model to pay a market-leading price for the crops supplied by farmers.
IFA had a very constructive and well attended online meeting on Monday night where the Glanbia Co-op Chairman John Murphy, CEO Jim Bergin and other key personnel. There were many questions and it proved a very effective forum for farmers to have their questions dealt with.
"
https://www.ifa.ie/farm-sectors/ifa-to-host-online-farmer-meeting-on-proposed-glanbia-deal/,IFA to Host Online Farmer Meeting on Proposed Glanbia Deal,8 December 2021,"<div class=""single-content"">
<p>IFA Dairy Chairman Stephen Arthur has announced that IFA will host an online meeting for farmers on the proposed Glanbia deal next Monday, Dec 13th at 8pm.</p>
<p>Jim Bergin, CEO of Glanbia Co-op, and Sean Molloy, Chief Agribusiness Growth Officer, will address the meeting.</p>
<p>The vote is scheduled to take place at an online SGM on Fri, Dec 17<sup>th</sup>.</p>
<p>Stephen Arthur said the meeting on Monday will give suppliers the opportunity to get clarity on any outstanding questions they may have in advance of the vote on Friday. It’s a complex financial arrangement that requires careful scrutiny before members vote on the proposals.</p>
<p>“Glanbia has a three billion litre milk pool and takes in 270,000 tonnes of grain each year. It’s a major processor and buyer of what farmers produce so they should be a market leader in price,” he said.</p>
<p>“Whatever new structure may emerge, it has to return a leading price to the farmers. The business must seek to extract the maximum value from the market for the quality product that we sell to them,” he said.</p>
<p>IFA Grain Chairman Mark Browne said grain farmers would expect any new arrangement, if it goes ahead, to pay a leading price for the quality grains supplied by farmers.</p>
<p>Registration for the online meeting is available at the following link:</p>
<div style=""text-align:center""><figure class=""wp-block-embed alignfull is-type-wp-embed is-provider-irish-farmers-039-association wp-block-embed-irish-farmers-039-association""><div class=""wp-block-embed__wrapper"">
<blockquote class=""wp-embedded-content"" data-secret=""jxWk2xy877""><a href=""https://www.ifa.ie/glanbia/"">The Glanbia Deal – What Does It Mean For You</a></blockquote><iframe class=""wp-embedded-content"" data-secret=""jxWk2xy877"" frameborder=""0"" height=""338"" marginheight=""0"" marginwidth=""0"" sandbox=""allow-scripts"" scrolling=""no"" security=""restricted"" src=""https://www.ifa.ie/glanbia/embed/#?secret=jxWk2xy877"" style=""position: absolute; clip: rect(1px, 1px, 1px, 1px);"" title=""“The Glanbia Deal – What Does It Mean For You” — Irish Farmers' Association"" width=""600""></iframe>
</div></figure></div>
</div>","
IFA Dairy Chairman Stephen Arthur has announced that IFA will host an online meeting for farmers on the proposed Glanbia deal next Monday, Dec 13th at 8pm.
Jim Bergin, CEO of Glanbia Co-op, and Sean Molloy, Chief Agribusiness Growth Officer, will address the meeting.
The vote is scheduled to take place at an online SGM on Fri, Dec 17th.
Stephen Arthur said the meeting on Monday will give suppliers the opportunity to get clarity on any outstanding questions they may have in advance of the vote on Friday. It’s a complex financial arrangement that requires careful scrutiny before members vote on the proposals.
“Glanbia has a three billion litre milk pool and takes in 270,000 tonnes of grain each year. It’s a major processor and buyer of what farmers produce so they should be a market leader in price,” he said.
“Whatever new structure may emerge, it has to return a leading price to the farmers. The business must seek to extract the maximum value from the market for the quality product that we sell to them,” he said.
IFA Grain Chairman Mark Browne said grain farmers would expect any new arrangement, if it goes ahead, to pay a leading price for the quality grains supplied by farmers.
Registration for the online meeting is available at the following link:

The Glanbia Deal – What Does It Mean For You

"
https://www.ifa.ie/farm-sectors/calf-transport-proposals-pose-serious-threat-to-irish-dairy-sector/,Calf Transport Proposals Pose Serious Threat to Irish Dairy Sector,3 December 2021,"<div class=""single-content"">
<p>IFA Dairy Chairman Stephen Arthur has said the recommendation to end the transport of unweaned calves would be devastating for the Irish dairy sector.</p>
<p>By a margin of one vote, the European Parliament’s Committee on Inquiry on the Protection of Animals During Transport (ANIT) Committee will bring forward recommendations to end the transport of unweaned calves to a plenary session of the European Parliament in January.</p>
<p>Under this recommendation, all calves would have to be more than five weeks of age prior to transport.</p>
<p>Stephen Arthur said the recommendation poses a significant threat to the trade of calves from Ireland to Europe.</p>
<p>“Our calves are highly sought after in the European market as they are more robust and healthier than calves from other European countries. Calf welfare remains of the utmost importance. However, these proposals are excessive and unnecessary given the very strong credentials of Irish calf exports,” he said.</p>
<p>In October, IFA visited the Netherlands and the feedback received was very positive on the health of exported Irish calves.</p>
<p>Intra-community trade is the cornerstone upon which the EU has been built on. Recommendations that disrupt the transport of animals and disrupt journey times leaves Ireland at a competitive disadvantage merely because of its geographical location in Europe.</p>
<p>“We cannot be treated unfairly.  Compliance with enhanced regulations to improve conditions during transport would be a more practical solution than an outright ban,” he said.</p>
</div>","
IFA Dairy Chairman Stephen Arthur has said the recommendation to end the transport of unweaned calves would be devastating for the Irish dairy sector.
By a margin of one vote, the European Parliament’s Committee on Inquiry on the Protection of Animals During Transport (ANIT) Committee will bring forward recommendations to end the transport of unweaned calves to a plenary session of the European Parliament in January.
Under this recommendation, all calves would have to be more than five weeks of age prior to transport.
Stephen Arthur said the recommendation poses a significant threat to the trade of calves from Ireland to Europe.
“Our calves are highly sought after in the European market as they are more robust and healthier than calves from other European countries. Calf welfare remains of the utmost importance. However, these proposals are excessive and unnecessary given the very strong credentials of Irish calf exports,” he said.
In October, IFA visited the Netherlands and the feedback received was very positive on the health of exported Irish calves.
Intra-community trade is the cornerstone upon which the EU has been built on. Recommendations that disrupt the transport of animals and disrupt journey times leaves Ireland at a competitive disadvantage merely because of its geographical location in Europe.
“We cannot be treated unfairly.  Compliance with enhanced regulations to improve conditions during transport would be a more practical solution than an outright ban,” he said.
"
https://www.ifa.ie/farm-sectors/processors-must-break-40c-per-litre-barrier-for-november-milk/,Processors Must Break 40c per Litre Barrier for November Milk,1 December 2021,"<div class=""single-content"">
<p>Ornua has announced the PPI for November which demonstrates impressive gains in milk price since October. At 131.9, the milk price equivalent is 40.3cpl.  This rises to 44.31cpl when adjusted to include the Ornua Value Payment.</p>
<p>Commenting on this gain, IFA Dairy Chairman Stephen Arthur said that milk processors must pay a milk price in excess of 40cpl for November milk. “The global market is very positive at the moment and our industry is very well positioned to take advantage of this,” he said.</p>
<p>International dairy markets continue to perform strongly with the New Zealand GDT index up 14% in the past three months.</p>
<p>Despite rises in global commodity prices, global supply remains sluggish. US milk production has slipped back 0.5% in October due to a reduction in cow numbers; NZ milk production is back 3.3% and European supplies remain steady.  </p>
<p>“Typically, as milk price rises, global supply increases, but this year we are seeing supply remain steady. This has translated into really strong prospects for milk price for 2022,” he said.</p>
<p>“Our milk processors must command strong product prices in this buoyant global market and deliver a milk price above 40c/L for the rest of the year,” he concluded.</p>
</div>","
Ornua has announced the PPI for November which demonstrates impressive gains in milk price since October. At 131.9, the milk price equivalent is 40.3cpl.  This rises to 44.31cpl when adjusted to include the Ornua Value Payment.
Commenting on this gain, IFA Dairy Chairman Stephen Arthur said that milk processors must pay a milk price in excess of 40cpl for November milk. “The global market is very positive at the moment and our industry is very well positioned to take advantage of this,” he said.
International dairy markets continue to perform strongly with the New Zealand GDT index up 14% in the past three months.
Despite rises in global commodity prices, global supply remains sluggish. US milk production has slipped back 0.5% in October due to a reduction in cow numbers; NZ milk production is back 3.3% and European supplies remain steady.  
“Typically, as milk price rises, global supply increases, but this year we are seeing supply remain steady. This has translated into really strong prospects for milk price for 2022,” he said.
“Our milk processors must command strong product prices in this buoyant global market and deliver a milk price above 40c/L for the rest of the year,” he concluded.
"
https://www.ifa.ie/farm-sectors/eamon-ryan-must-come-clean-on-ciaran-cuffes-attempt-to-sabotage-irish-farmers/,Eamon Ryan Must Come Clean on Ciaran Cuffe’s Attempt to Sabotage Irish Farmers,27 November 2021,"<div class=""single-content"">
<p>IFA President Tim Cullinan said that Green Party leader, Minister Eamon Ryan, must clarify if he supports MEP Ciarán Cuffe’s letter to banks advising them not to lend to dairy farmers.</p>
<p>“This letter was a disgraceful act by a Dublin-based MEP, seeking to sabotage farmers and rural Ireland,” he said.</p>
<p>“It shows farmers that, despite all the guff about wanting to support them, the Green Party are in fact undermining farmers at every hand’s turn,” he said.</p>
<p>“Instead of this, they should be focusing on delivering low-cost finance options for Irish farmers to support better on-farm efficiencies to reduce emissions,” he said.</p>
<p>Minister Ryan must set the record straight on this and tell us if he supports what MEP Cuffe has done.</p>
<p>IFA will be writing to the pillar banks in relation to Mr. Cuffe’s letter.</p>
</div>","
IFA President Tim Cullinan said that Green Party leader, Minister Eamon Ryan, must clarify if he supports MEP Ciarán Cuffe’s letter to banks advising them not to lend to dairy farmers.
“This letter was a disgraceful act by a Dublin-based MEP, seeking to sabotage farmers and rural Ireland,” he said.
“It shows farmers that, despite all the guff about wanting to support them, the Green Party are in fact undermining farmers at every hand’s turn,” he said.
“Instead of this, they should be focusing on delivering low-cost finance options for Irish farmers to support better on-farm efficiencies to reduce emissions,” he said.
Minister Ryan must set the record straight on this and tell us if he supports what MEP Cuffe has done.
IFA will be writing to the pillar banks in relation to Mr. Cuffe’s letter.
"
https://www.ifa.ie/farm-sectors/work-permits-needed-urgently-to-avoid-staffing-crisis-on-farms-next-spring/,Work Permits Needed Urgently to Avoid Staffing Crisis on Farms next Spring,11 October 2021,"<div class=""single-content"">
<p>A survey by IFA, National Co-Op Farm Relief Services and Farm Solutions estimates that at least 200-300 full-time workers are needed on dairy farms next Spring.</p>
<p>IFA Dairy Chairman Stephen Arthur said unless work permits are cleared, there’s the potential of a critical staff shortage on many dairy farms next year. Compared to this time last year, IFA estimate that there has been a 65% drop in the number of applicants for dairy farm vacancies.</p>
<p>IFA will meet Minister Damien English on Wednesday to discuss the urgent need for work permits.  “There’s an increasing demand for a skilled workforce to work on our dairy farms which is not being satisfied within the EU, and we need access to workers from outside the EU.</p>
<p>The shortage of labour in the dairy sector is not unique. The horticulture, pig and poultry sectors have also been seriously impacted, with an insufficient supply of workers.</p>
<p>“Business Minister Damien English has to launch this pilot scheme again to satisfy demand. Given that the permit process can take in excess of three months, 500 permits need to be introduced immediately to ensure we have sufficient labour on our farms for this coming Spring,” he said.</p>
<p>Recruitment firms report a strong appetite among workers from outside the EU to come to work on farms in Ireland. To date, 15% of applications received by these firms come from outside the EU. This is in stark contrast to the 1% of applicants from other EU Member States. However, workers from outside the EU are greatly restricted due to existing work permit regulations.</p>
<p>A successful pilot scheme of dairy permits was issued in 2018, but this has expired.</p>
</div>","
A survey by IFA, National Co-Op Farm Relief Services and Farm Solutions estimates that at least 200-300 full-time workers are needed on dairy farms next Spring.
IFA Dairy Chairman Stephen Arthur said unless work permits are cleared, there’s the potential of a critical staff shortage on many dairy farms next year. Compared to this time last year, IFA estimate that there has been a 65% drop in the number of applicants for dairy farm vacancies.
IFA will meet Minister Damien English on Wednesday to discuss the urgent need for work permits.  “There’s an increasing demand for a skilled workforce to work on our dairy farms which is not being satisfied within the EU, and we need access to workers from outside the EU.
The shortage of labour in the dairy sector is not unique. The horticulture, pig and poultry sectors have also been seriously impacted, with an insufficient supply of workers.
“Business Minister Damien English has to launch this pilot scheme again to satisfy demand. Given that the permit process can take in excess of three months, 500 permits need to be introduced immediately to ensure we have sufficient labour on our farms for this coming Spring,” he said.
Recruitment firms report a strong appetite among workers from outside the EU to come to work on farms in Ireland. To date, 15% of applications received by these firms come from outside the EU. This is in stark contrast to the 1% of applicants from other EU Member States. However, workers from outside the EU are greatly restricted due to existing work permit regulations.
A successful pilot scheme of dairy permits was issued in 2018, but this has expired.
"
