sagecode,item,domsupply,foodsupply,feedsupply,otherutil,foodfraction,feedfraction,otherutilfraction
ALB,Apples,36000,33428.57143,0,2571.428571,0.928571429,0,0.071428571
DZA,Apples,112714.2857,107142.8571,0,5571.428571,0.950570342,0,0.049429658
AGO,Apples,5142.857143,5142.857143,0,0,1,0,0
ARG,Apples,689857.1429,609428.5714,0,80428.57143,0.883412715,0,0.116587285
ARM,Apples,34285.71429,21285.71429,9428.571429,3571.428571,0.620833333,0.275,0.104166667
AUS,Apples,339142.8571,332714.2857,0,6428.571429,0.98104465,0,0.01895535
AUT,Apples,492000,392000,0,100000,0.796747967,0,0.203252033
AZE,Apples,112857.1429,111142.8571,0,1714.285714,0.984810127,0,0.015189873
BHA,Apples,7428.571429,7428.571429,0,0,1,0,0
BGD,Apples,18000,18000,0,0,1,0,0
BAR,Apples,4714.285714,4714.285714,0,0,1,0,0
BLR,Apples,209714.2857,189936.4766,5206.380576,14571.42857,0.905691646,0.024826065,0.069482289
BEL,Apples,187857.1429,164901.0717,10098.92828,12857.14286,0.877800382,0.053758554,0.068441065
BZE,Apples,1142.857143,1142.857143,0,0,1,0,0
BEN,Apples,5571.428571,5571.428571,0,0,1,0,0
BMU,Apples,571.4285714,571.4285714,0,0,1,0,0
BOL,Apples,23714.28571,21428.57143,0,2285.714286,0.903614458,0,0.096385542
BIH,Apples,32285.71429,31142.85714,0,1142.857143,0.96460177,0,0.03539823
BWA,Apples,8428.571429,8428.571429,0,0,1,0,0
BRA,Apples,860142.8571,765857.1429,0,94285.71429,0.890383657,0,0.109616343
BRN,Apples,2571.428571,2571.428571,0,0,1,0,0
BGR,Apples,87142.85714,78857.14286,0,8285.714286,0.904918033,0,0.095081967
KHM,Apples,2571.428571,2571.428571,0,0,1,0,0
CMR,Apples,1000,1000,0,0,1,0,0
CAN,Apples,538285.7143,523857.1429,0,14428.57143,0.973195329,0,0.026804671
CPV,Apples,1142.857143,1142.857143,0,0,1,0,0
CHL,Apples,146857.1429,67857.14286,0,79000,0.462062257,0,0.537937743
CHN,Apples,19312857.14,17316285.71,0,1996571.429,0.896619572,0,0.103380428
COL,Apples,58000,58000,0,0,1,0,0
COS,Apples,16428.57143,16428.57143,0,0,1,0,0
HRV,Apples,80857.14286,76000,0,4857.142857,0.939929329,0,0.060070671
CUB,Apples,2000,2000,0,0,1,0,0
CYP,Apples,11571.42857,11571.42857,0,0,1,0,0
CZE,Apples,221000,204142.8571,0,16857.14286,0.923723335,0,0.076276665
CIV,Apples,4428.571429,4428.571429,0,0,1,0,0
PRK,Apples,654571.4286,589142.8571,0,65428.57143,0.900043649,0,0.099956351
ZAR,Apples,285.7142857,285.7142857,0,0,1,0,0
DNK,Apples,187142.8571,182571.4286,0,4571.428571,0.975572519,0,0.024427481
DOM,Apples,6571.428571,6571.428571,0,0,1,0,0
