,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
53,0.3275313377380371,0.0118735656474823,0.003776836395263672,6.509436763963882e-05,0.01,0.1,9,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.9169284047911987,0.7376403228165331,0.8331839084346946,0.9311292773544518,0.8227762160204878,0.8483316258834732,0.07027953622137159,1,-127.20195443293214,-136.66264108138,-309.62476734975075,-141.55472499754822,-93.46569186417697,-161.70195594515764,75.84256611905404,1
52,0.2183161735534668,0.00856765181635428,0.0036033153533935546,0.00021482710535084852,0.01,0.1,9,340,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 340}",0.9169284047911987,0.7376403228165331,0.8331839084346946,0.9311292773544518,0.8227762160204878,0.8483316258834732,0.07027953622137159,1,-127.20195443293214,-136.66264108138,-309.62476734975075,-141.55472499754822,-93.46569186417697,-161.70195594515764,75.84256611905404,1
125,0.3295928955078125,0.01625211402421181,0.003637218475341797,4.592899864296099e-05,0.1,0.1,9,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.9169268673788197,0.7379181533991417,0.833025592497094,0.9311087164072,0.8224350186748763,0.8482828696714264,0.07021878069936367,3,-127.2031314956458,-136.59026121162609,-309.771656388473,-141.57585358402488,-93.55562028958637,-161.73930459387122,75.88725634134657,3
124,0.25043835639953616,0.02748864174914998,0.0037817955017089844,0.00030307388663371453,0.1,0.1,9,340,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 340}",0.9169268673788197,0.7379181533991417,0.833025592497094,0.9311087164072,0.8224350186748763,0.8482828696714264,0.07021878069936367,3,-127.2031314956458,-136.59026121162609,-309.771656388473,-141.57585358402488,-93.55562028958637,-161.73930459387122,75.88725634134657,3
51,0.10127573013305664,0.007185243649472558,0.0037775516510009767,0.0001485000909689695,0.01,0.1,9,160,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 160}",0.9169198581478497,0.737639834123791,0.8330095879036827,0.9310855673059886,0.8227590918408142,0.8482827878644252,0.07027651187777975,5,-127.20849771511108,-136.66276836086604,-309.7865019288447,-141.59963800436051,-93.47020729829151,-161.74552266149476,75.90185446278923,5
123,0.11401124000549316,0.009290903531962923,0.004043292999267578,0.0006611885729130096,0.1,0.1,9,160,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 160}",0.9168957432213187,0.7378902791710835,0.8329595688394082,0.9310953452866999,0.8224084512112404,0.84824987754595,0.07022313038923828,6,-127.226958209626,-136.59752468086631,-309.83289402584916,-141.58959215771566,-93.56261897411373,-161.76191760963417,75.9065098625934,6
119,0.3202359676361084,0.012146620746158358,0.003719615936279297,0.00029043741478515674,0.1,0.1,6,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9164534102111384,0.7379471713345848,0.8330580087451018,0.9311196272291274,0.8198457121689372,0.8476847859377779,0.07031613914872374,7,-127.56509971557507,-136.5826993046266,-309.74158554586575,-141.5646419327557,-94.23527974666032,-161.9378612490967,75.72188520642065,7
118,0.25046596527099607,0.04833678453948956,0.003931283950805664,0.0002904079227128236,0.1,0.1,6,340,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 340}",0.9164534102111384,0.7379471713345848,0.8330580087451018,0.9311196272291274,0.8198457121689372,0.8476847859377779,0.07031613914872374,7,-127.56509971557507,-136.5826993046266,-309.74158554586575,-141.5646419327557,-94.23527974666032,-161.9378612490967,75.72188520642065,7
117,0.10702052116394042,0.01020209059419942,0.003736591339111328,8.874202142239017e-05,0.1,0.1,6,160,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 160}",0.9164366191579829,0.7379221286777315,0.8329896249367693,0.9311059478404942,0.8198135017960789,0.8476535644818114,0.0703228229179984,9,-127.57791798119693,-136.58922530164787,-309.80501818015654,-141.57869834345038,-94.24370368669119,-161.95891269862858,75.74278501762271,9
47,0.3129673957824707,0.007973582678523902,0.0037965297698974608,0.00010910690644661428,0.01,0.1,6,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9161779984683671,0.7376403228165331,0.8332111573707403,0.9311228564074862,0.8198815562485479,0.847606778262335,0.07034982687849768,10,-127.77518620849757,-136.66264108138,-309.5994781526163,-141.56132355033705,-94.22590460233236,-161.96490671903265,75.64388531963831,10
